id,listnum,category,item,rt
MF-YOtfJxdNv,0,animali,cane,10012
MF-YOtfJxdNv,0,animali,gatto,10012
MF-YOtfJxdNv,0,animali,uccello,10012
MF-YOtfJxdNv,0,animali,pavone,10012
MF-YOtfJxdNv,0,animali,lupo,10012
MF-YOtfJxdNv,0,animali,cerbiatto,10012
MF-YOtfJxdNv,0,animali,maiale,33482
MF-YOtfJxdNv,0,animali,asino,33482
MF-YOtfJxdNv,0,animali,cavallo,33482
MF-YOtfJxdNv,0,animali,pulcino,37360
MF-YOtfJxdNv,0,animali,gallina,37360
MF-YOtfJxdNv,0,animali,gallo,37360
MF-YOtfJxdNv,0,animali,pavone,40000
MF-YOtfJxdNv,0,animali,palena,50858
MF-YOtfJxdNv,0,animali,pitone,57472
MF-YOtfJxdNv,1,frutta,fragole,12774
MF-YOtfJxdNv,1,frutta,kiwi,12774
MF-YOtfJxdNv,1,frutta,melone,21214
MF-YOtfJxdNv,1,frutta,papaya,21214
MF-YOtfJxdNv,1,frutta,ciliegie,43293
MF-YOtfJxdNv,1,frutta,castagne,54564
MF-YOtfJxdNv,2,verdura,lattuga,8411
MF-YOtfJxdNv,2,verdura,sedano,17255
MF-YOtfJxdNv,2,verdura,rucola,52591
MF-YOtfJxdNv,2,verdura,cipolla,59396
PL-I775dRZdA,0,animali,cavallo,18336
PL-I775dRZdA,0,animali,tartaruga,18336
PL-I775dRZdA,0,animali,anatra,25934
PL-I775dRZdA,0,animali,oca,25934
PL-I775dRZdA,0,animali,gallina,25934
PL-I775dRZdA,0,animali,lumaca,40075
PL-I775dRZdA,0,animali,gatto,51754
PL-I775dRZdA,0,animali,leone,58585
PL-I775dRZdA,1,frutta,limone,49010
PL-I775dRZdA,1,frutta,mela,55267
PL-I775dRZdA,2,verdura,lattuga,31477
PL-I775dRZdA,2,verdura,la,31477
PL-I775dRZdA,2,verdura,belga,31477
PL-I775dRZdA,3,animali,cane,11108
PL-I775dRZdA,3,animali,e,11108
PL-I775dRZdA,3,animali,gatto,11108
PL-I775dRZdA,3,animali,cavallo,11108
PL-I775dRZdA,3,animali,topo,11108
PL-I775dRZdA,3,animali,leone,15949
PL-I775dRZdA,3,animali,siena,15949
PL-I775dRZdA,3,animali,uccello,40834
PL-I775dRZdA,3,animali,puma,59070
PL-I775dRZdA,3,animali,panda,59070
PL-I775dRZdA,4,frutta,kiwi,24518
PL-I775dRZdA,4,frutta,fragole,48631
PL-I775dRZdA,5,verdura,zucchine,14225
PL-I775dRZdA,5,verdura,radicchio,20676
PL-I775dRZdA,5,verdura,pomodoro,43827
PL-I775dRZdA,5,verdura,cetriolo,59547
MA-k8TRO2jAu,0,animali,gatto,8547
MA-k8TRO2jAu,0,animali,gallina,8547
MA-k8TRO2jAu,0,animali,topo,8547
MA-k8TRO2jAu,0,animali,tigre,20537
MA-k8TRO2jAu,0,animali,drago,20537
MA-k8TRO2jAu,0,animali,mandragola,23893
MA-k8TRO2jAu,0,animali,maiale,35669
MA-k8TRO2jAu,0,animali,tortora,39297
MA-k8TRO2jAu,0,animali,piccione,42420
MA-k8TRO2jAu,0,animali,coniglio,42420
MA-k8TRO2jAu,0,animali,canelupo,45194
MA-k8TRO2jAu,0,animali,volpe,53149
MA-k8TRO2jAu,0,animali,orso,56562
MA-k8TRO2jAu,0,animali,tigre,56562
MA-k8TRO2jAu,1,frutta,kiwi,9753
MA-k8TRO2jAu,2,verdura,verza,9870
MA-k8TRO2jAu,2,verdura,cavolfiore,25808
MA-k8TRO2jAu,2,verdura,verza,25808
MA-k8TRO2jAu,2,verdura,indivia,35335
MA-k8TRO2jAu,2,verdura,scarola,35335
MA-k8TRO2jAu,3,animali,pomodori,61144
MA-k8TRO2jAu,3,animali,cane,5604
MA-k8TRO2jAu,3,animali,gatto,5604
MA-k8TRO2jAu,3,animali,topo,5604
MA-k8TRO2jAu,3,animali,coniglio,5604
