"id","listnum","category","item","rt"
"MF-YOtfJxdNv","0","animali","cane","10012"
"MF-YOtfJxdNv","0","animali","gatto","10012"
"MF-YOtfJxdNv","0","animali","uccello","10012"
"MF-YOtfJxdNv","0","animali","pavone","10012"
"MF-YOtfJxdNv","0","animali","lupo","10012"
"MF-YOtfJxdNv","0","animali","cerbiatto","10012"
"MF-YOtfJxdNv","0","animali","maiale","33482"
"MF-YOtfJxdNv","0","animali","asino","33482"
"MF-YOtfJxdNv","0","animali","cavallo","33482"
"MF-YOtfJxdNv","0","animali","pulcino","37360"
"MF-YOtfJxdNv","0","animali","gallina","37360"
"MF-YOtfJxdNv","0","animali","gallo","37360"
"MF-YOtfJxdNv","0","animali","pavone","40000"
"MF-YOtfJxdNv","0","animali","palena","50858"
"MF-YOtfJxdNv","0","animali","pitone","57472"
"MF-YOtfJxdNv","1","frutta","fragole","12774"
"MF-YOtfJxdNv","1","frutta","kiwi","12774"
"MF-YOtfJxdNv","1","frutta","melone","21214"
"MF-YOtfJxdNv","1","frutta","papaya","21214"
"MF-YOtfJxdNv","1","frutta","ciliegie","43293"
"MF-YOtfJxdNv","1","frutta","castagne","54564"
"MF-YOtfJxdNv","2","verdura","lattuga","8411"
"MF-YOtfJxdNv","2","verdura","copertone","8411"
"MF-YOtfJxdNv","2","verdura","belga","8411"
"MF-YOtfJxdNv","2","verdura","finocchi","8411"
"MF-YOtfJxdNv","2","verdura","cetrioli","8411"
"MF-YOtfJxdNv","2","verdura","pomodori","8411"
"MF-YOtfJxdNv","2","verdura","sedano","17255"
"MF-YOtfJxdNv","2","verdura","carote","22064"
"MF-YOtfJxdNv","2","verdura","melanzane","27109"
"MF-YOtfJxdNv","2","verdura","e","27109"
"MF-YOtfJxdNv","2","verdura","zucchine","27109"
"MF-YOtfJxdNv","2","verdura","peperoni","29607"
"MF-YOtfJxdNv","2","verdura","patate","33100"
"MF-YOtfJxdNv","2","verdura","bietole","44907"
"MF-YOtfJxdNv","2","verdura","rucola","52591"
"MF-YOtfJxdNv","2","verdura","cipolla","59396"
"MF-YOtfJxdNv","5","verdura","ascolti","30085"
"MF-YOtfJxdNv","5","verdura","va","30085"
"MF-YOtfJxdNv","5","verdura","bene","30085"
"MF-YOtfJxdNv","5","verdura","una","30085"
"MF-YOtfJxdNv","5","verdura","ogni","55930"
"MF-YOtfJxdNv","5","verdura","tanto","55930"
"MF-YOtfJxdNv","5","verdura","sentirsi","55930"
"MF-YOtfJxdNv","5","verdura","facilmente","55930"
"MF-YOtfJxdNv","5","verdura","infastidito","55930"
"MF-YOtfJxdNv","5","verdura","la","55930"
"MF-YOtfJxdNv","5","verdura","rabbia","55930"
"MF-YOtfJxdNv","5","verdura","per","55930"
"MF-YOtfJxdNv","5","verdura","il","55930"
"MF-YOtfJxdNv","5","verdura","canto","55930"
"MF-YOtfJxdNv","5","verdura","dolore","55930"
"MF-YOtfJxdNv","5","verdura","ancora","55930"
"MF-YOtfJxdNv","5","verdura","al","55930"
"MF-YOtfJxdNv","5","verdura","petto","55930"
"PL-I775dRZdA","0","animali","cavallo","18336"
"PL-I775dRZdA","0","animali","tartaruga","18336"
"PL-I775dRZdA","0","animali","anatra","25934"
"PL-I775dRZdA","0","animali","oca","25934"
"PL-I775dRZdA","0","animali","gallina","25934"
"PL-I775dRZdA","0","animali","lumaca","40075"
"PL-I775dRZdA","0","animali","gatto","51754"
"PL-I775dRZdA","0","animali","leone","58585"
"PL-I775dRZdA","1","frutta","scorpione","61209"
"PL-I775dRZdA","1","frutta","mandarini","24903"
"PL-I775dRZdA","1","frutta","ananas","40853"
"PL-I775dRZdA","1","frutta","limone","49010"
"PL-I775dRZdA","1","frutta","mela","55267"
"PL-I775dRZdA","2","verdura","zucchine","7800"
"PL-I775dRZdA","2","verdura","bietole","7800"
"PL-I775dRZdA","2","verdura","melanzane","14604"
"PL-I775dRZdA","2","verdura","peperoni","14604"
