"id","listnum","category","item","rt"
"RU-polesani-CJE1Jr0vU","0","animali","cane","6031"
"RU-polesani-CJE1Jr0vU","0","animali","gatto","6031"
"RU-polesani-CJE1Jr0vU","0","animali","tartaruga","6031"
"RU-polesani-CJE1Jr0vU","0","animali","serpente","6031"
"RU-polesani-CJE1Jr0vU","0","animali","elefante","8625"
"RU-polesani-CJE1Jr0vU","0","animali","giraffa","11306"
"RU-polesani-CJE1Jr0vU","0","animali","leone","15370"
"RU-polesani-CJE1Jr0vU","0","animali","coccodrillo","15370"
"RU-polesani-CJE1Jr0vU","0","animali","pesce","35893"
"RU-polesani-CJE1Jr0vU","1","frutta","avanti","6615"
"RU-polesani-CJE1Jr0vU","1","frutta","non","6615"
"RU-polesani-CJE1Jr0vU","1","frutta","fa","6615"
"RU-polesani-CJE1Jr0vU","1","frutta","una","6615"
"RU-polesani-CJE1Jr0vU","1","frutta","ciliegia","6615"
"RU-polesani-CJE1Jr0vU","1","frutta","pesca","12390"
"RU-polesani-CJE1Jr0vU","1","frutta","mannarino","17225"
"RU-polesani-CJE1Jr0vU","1","frutta","mandarino","34216"
"RU-polesani-CJE1Jr0vU","1","frutta","fragola","40744"
"RU-polesani-CJE1Jr0vU","1","frutta","melone","47818"
"RU-polesani-CJE1Jr0vU","1","frutta","ciliegia","50898"
"RU-polesani-CJE1Jr0vU","2","verdura","broccoli","3196"
"RU-polesani-CJE1Jr0vU","2","verdura","aglio","7039"
"RU-polesani-CJE1Jr0vU","2","verdura","patate","7039"
"RU-polesani-CJE1Jr0vU","2","verdura","basilico","7039"
"RU-polesani-CJE1Jr0vU","2","verdura","rosmarino","10329"
"RU-polesani-CJE1Jr0vU","2","verdura","salvia","10329"
"RU-polesani-CJE1Jr0vU","2","verdura","lavanda","22694"
"RU-polesani-CJE1Jr0vU","2","verdura","insalata","34215"
"RU-polesani-CJE1Jr0vU","2","verdura","insalata","34215"
"RU-polesani-CJE1Jr0vU","2","verdura","zucchine","54384"
"RU-polesani-CJE1Jr0vU","2","verdura","broccoli","58525"
"RU-polesani-CJE1Jr0vU","3","animali","cane","4496"
"RU-polesani-CJE1Jr0vU","3","animali","gatto","4496"
"RU-polesani-CJE1Jr0vU","3","animali","tartaruga","4496"
"RU-polesani-CJE1Jr0vU","3","animali","tartaruga","35699"
"RU-polesani-CJE1Jr0vU","3","animali","serpente","54290"
"RU-polesani-CJE1Jr0vU","3","animali","anguilla","57780"
"RU-polesani-CJE1Jr0vU","4","frutta","fragola","6227"
"RU-polesani-CJE1Jr0vU","4","frutta","ciliegia","8534"
"RU-polesani-CJE1Jr0vU","4","frutta","albicocca","18509"
"RU-polesani-CJE1Jr0vU","4","frutta","mandarino","24473"
"RU-polesani-CJE1Jr0vU","4","frutta","arancia","24473"
"RU-polesani-CJE1Jr0vU","4","frutta","anna","36474"
"RU-polesani-CJE1Jr0vU","4","frutta","lancia","36474"
"RU-polesani-CJE1Jr0vU","4","frutta","pesche","49224"
"RU-polesani-CJE1Jr0vU","5","verdura","insalata","4041"
"RU-polesani-CJE1Jr0vU","5","verdura","cipolla","10416"
"RU-polesani-CJE1Jr0vU","5","verdura","patate","10416"
"RU-polesani-CJE1Jr0vU","5","verdura","aglio","10416"
"RU-polesani-CJE1Jr0vU","5","verdura","rosmarino","10416"
"RU-polesani-CJE1Jr0vU","5","verdura","lavanda","13163"
"RU-polesani-CJE1Jr0vU","5","verdura","insalata","22460"
"RU-polesani-CJE1Jr0vU","5","verdura","cipolla","27700"
"RU-polesani-CJE1Jr0vU","5","verdura","patate","27700"
"RU-polesani-CJE1Jr0vU","5","verdura","rosmarino","27700"
"RU-polesani-CJE1Jr0vU","5","verdura","basilico","27700"
"RU-polesani-CJE1Jr0vU","5","verdura","basilico","34514"
"RU-polesani-hMnsL875k","0","animali","cane","3041"
"RU-polesani-hMnsL875k","0","animali","gatto","3041"
"RU-polesani-hMnsL875k","0","animali","l'elefante","5568"
"RU-polesani-hMnsL875k","0","animali","l'uccello","13290"
"RU-polesani-hMnsL875k","0","animali","del","13290"
"RU-polesani-hMnsL875k","0","animali","gufo","13290"
"RU-polesani-hMnsL875k","0","animali","lo","29842"
"RU-polesani-hMnsL875k","0","animali","squalo","29842"
"RU-polesani-hMnsL875k","0","animali","la","43572"
"RU-polesani-hMnsL875k","0","animali","volpe","43572"
"RU-polesani-hMnsL875k","0","animali","cosa","54206"
"RU-polesani-hMnsL875k","0","animali","vuol","54206"
"RU-polesani-hMnsL875k","0","animali","dire","54206"
"RU-polesani-hMnsL875k","0","animali","la","54206"
