"id","listnum","category","item","rt"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","asino","13099"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","bruco","13099"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","cavallo","13099"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","zebra","13099"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","coccodrillo","13099"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","ippopotamo","13099"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","leone","13099"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","gatto","14965"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","topo","14965"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","cane","20527"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","vediamo","20527"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","verme","23106"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","rinoceronte","28092"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","elefante","30520"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","giraffa","32802"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","giraffa","45333"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","te","47421"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","l'ho","47421"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","detto","47421"
"PNRR-FE-PNRRFE056-97kH9yAVv","0","animali","tigre","48854"
"PNRR-FE-PNRRFE056-97kH9yAVv","1","frutta","pera","11584"
"PNRR-FE-PNRRFE056-97kH9yAVv","1","frutta","mela","11584"
"PNRR-FE-PNRRFE056-97kH9yAVv","1","frutta","fragola","11584"
"PNRR-FE-PNRRFE056-97kH9yAVv","1","frutta","banana","11584"
"PNRR-FE-PNRRFE056-97kH9yAVv","1","frutta","lampone","11584"
"PNRR-FE-PNRRFE056-97kH9yAVv","1","frutta","lampone","15544"
"PNRR-FE-PNRRFE056-97kH9yAVv","1","frutta","albicocca","18345"
"PNRR-FE-PNRRFE056-97kH9yAVv","1","frutta","albicocca","24248"
