"","id","listnum","category","item","rt","","","",""
"4","007-DlWW5ljGl","0","animali","banana","2590","2024-12-16T13:02:55.000000Z","2024-12-16T13:02:55.000000Z","T0","A"
"5","007-DlWW5ljGl","0","animali","cane","8694","2024-12-16T13:02:55.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"6","015-Wxp5TYig8","0","animali","animali","6587","2024-12-18T10:24:12.000000Z","2024-12-18T10:24:12.000000Z","T0","A"
"7","015-Wxp5TYig8","0","animali","cane","6587","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"8","015-Wxp5TYig8","0","animali","gatto","6587","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"9","015-Wxp5TYig8","0","animali","mucca","6587","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"10","015-Wxp5TYig8","0","animali","maiale","6587","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"11","015-Wxp5TYig8","0","animali","attacchino","9271","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"12","015-Wxp5TYig8","0","animali","capra","13179","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"13","015-Wxp5TYig8","0","animali","pecora","13179","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"14","015-Wxp5TYig8","0","animali","basta","32339","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"15","015-Wxp5TYig8","0","animali","ho","32339","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"16","015-Wxp5TYig8","0","animali","detto","32339","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"17","015-Wxp5TYig8","0","animali","tutti","32339","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"18","015-Wxp5TYig8","0","animali","gli","32339","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"19","015-Wxp5TYig8","0","animali","animali","32339","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:55.000000Z","T0","A"
"20","015-Wxp5TYig8","0","animali","in","32339","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:56.000000Z","T0","A"
"21","015-Wxp5TYig8","0","animali","campagna","32339","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:56.000000Z","T0","A"
"22","015-Wxp5TYig8","0","animali","che","32339","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:56.000000Z","T0","A"
"23","015-Wxp5TYig8","0","animali","avevo","32339","2024-12-18T10:24:12.000000Z","2025-10-14T14:37:56.000000Z","T0","A"
"24","015-Wxp5TYig8","0","animali","da","32339","2024-12-18T10:24:13.000000Z","2025-10-14T14:37:56.000000Z","T0","A"
"25","015-Wxp5TYig8","0","animali","piccola","32339","2024-12-18T10:24:13.000000Z","2025-10-14T14:37:56.000000Z","T0","A"
"26","015-Wxp5TYig8","0","animali","animali","43864","2024-12-18T10:24:13.000000Z","2025-10-14T14:37:56.000000Z","T0","A"
