nodes,edges,density,average_clustering,average_neighbor_degree,largest_component_nodes,largest_component_density,largest_component_average_shortest_path,largest_component_diameter,category,method,error
225.0,1029.0,0.04083333333333333,0.15865180242484822,17.446841692386908,225.0,0.04083333333333333,2.8067063492063493,6.0,animali,naive_random_walk,
225.0,152.0,0.006031746031746032,0.13891358024691358,1.7831992945326278,101.0,0.027326732673267327,8.372277227722773,21.0,animali,conceptual_network,
225.0,281.0,0.01115079365079365,0.01908641975308642,3.769733525733526,225.0,0.01115079365079365,5.932936507936508,15.0,animali,pathfinder,
,,,,,,,,,animali,correlation_based,No module named 'planarity.planarity'
225.0,41.0,0.001626984126984127,0.0011005291005291005,0.5679047619047619,36.0,0.05873015873015873,4.425396825396826,11.0,animali,first_edge,
36.0,218.0,0.346031746031746,0.579536864056427,15.930271424558732,36.0,0.346031746031746,1.7317460317460318,3.0,frutta,naive_random_walk,
36.0,10.0,0.015873015873015872,0.0,0.6111111111111112,3.0,0.6666666666666666,1.3333333333333333,2.0,frutta,conceptual_network,
36.0,39.0,0.06190476190476191,0.0,2.7956349206349205,36.0,0.06190476190476191,4.036507936507936,9.0,frutta,pathfinder,
,,,,,,,,,frutta,correlation_based,No module named 'planarity.planarity'
36.0,36.0,0.05714285714285714,0.1233946608946609,3.259785353535354,20.0,0.18947368421052632,2.2736842105263158,5.0,frutta,first_edge,
47.0,223.0,0.2062904717853839,0.46558243555794837,14.068420537882364,46.0,0.21545893719806763,2.0405797101449274,4.0,verdura,naive_random_walk,
47.0,8.0,0.0074005550416281225,0.035460992907801414,0.40425531914893614,5.0,0.5,1.6,3.0,verdura,conceptual_network,
47.0,52.0,0.04810360777058279,0.025582573454913878,3.004964539007092,46.0,0.050241545893719805,4.620289855072464,10.0,verdura,pathfinder,
,,,,,,,,,verdura,correlation_based,No module named 'planarity.planarity'
47.0,49.0,0.045328399629972246,0.08368794326241134,3.4305471124620057,32.0,0.09879032258064516,2.943548387096774,6.0,verdura,first_edge,
