subj,item1,item2,edge,
ANIMALI,usignolo,volpe,0,
ANIMALI,usignolo,varano,0,
ANIMALI,usignolo,zebra,0,
ANIMALI,usignolo,vespa,0,
ANIMALI,usignolo,vitello,0,
ANIMALI,usignolo,vipera,0,
ANIMALI,usignolo,verme,0,
ANIMALI,usignolo,vongola,0,
ANIMALI,usignolo,visone,0,
ANIMALI,usignolo,zanzara,0,
ANIMALI,pulcino,usignolo,0,
ANIMALI,pulcino,tacchino,0,
ANIMALI,pulcino,tigre,0,
ANIMALI,pulcino,ragno,0,
ANIMALI,pulcino,scimmia,0,
ANIMALI,pulcino,spigola,0,
ANIMALI,pulcino,stambecco,0,
ANIMALI,pulcino,riccio,0,
ANIMALI,pulcino,suino,0,
ANIMALI,pulcino,trota,0,
ANIMALI,pulcino,volpe,0,
ANIMALI,pulcino,tartaruga,0,
ANIMALI,pulcino,scorpione,0,
ANIMALI,pulcino,rondine,0,
ANIMALI,pulcino,varano,0,
ANIMALI,pulcino,zebra,0,
ANIMALI,pulcino,vespa,0,
ANIMALI,pulcino,tordo,0,
ANIMALI,pulcino,serpente,0,
ANIMALI,pulcino,sgombro,0,
ANIMALI,pulcino,puma,0,
ANIMALI,pulcino,rana,0,
ANIMALI,pulcino,stellamarina,0,
ANIMALI,pulcino,termite,0,
ANIMALI,pulcino,vitello,0,
ANIMALI,pulcino,sparviero,0,
ANIMALI,pulcino,vipera,0,
ANIMALI,pulcino,squalo,0,
ANIMALI,pulcino,somaro,0,
ANIMALI,pulcino,scoiattolo,0,
ANIMALI,pulcino,struzzo,0,
ANIMALI,pulcino,scarafaggio,0,
ANIMALI,pulcino,rospo,0,
ANIMALI,pulcino,topo,0,
ANIMALI,pulcino,tortora,0,
ANIMALI,pulcino,scampo,0,
ANIMALI,pulcino,verme,0,
ANIMALI,pulcino,upupa,0,
ANIMALI,pulcino,serpentetigre,0,
ANIMALI,pulcino,talpa,0,
ANIMALI,pulcino,vongola,0,
ANIMALI,pulcino,visone,0,
ANIMALI,pulcino,renna,0,
ANIMALI,pulcino,sogliola,0,
ANIMALI,pulcino,rinoceronte,0,
ANIMALI,pulcino,rondone,0,
ANIMALI,pulcino,tonno,0,
ANIMALI,pulcino,zanzara,0,
ANIMALI,pulcino,quaglia,0,
ANIMALI,pulcino,triglia,0,
ANIMALI,pulcino,uccello,0,
ANIMALI,pulcino,squalobalena,0,
ANIMALI,pulcino,salmone,0,
ANIMALI,pulcino,ratto,0,
ANIMALI,cernia,usignolo,0,
ANIMALI,cernia,pulcino,0,
ANIMALI,cernia,tacchino,0,
ANIMALI,cernia,pitone,0,
ANIMALI,cernia,libellula,0,
ANIMALI,cernia,insetto,0,
ANIMALI,cernia,colomba,0,
ANIMALI,cernia,gabbiano,0,
ANIMALI,cernia,cicala,0,
ANIMALI,cernia,lince,0,
ANIMALI,cernia,polpo,0,
ANIMALI,cernia,cobra,0,
ANIMALI,cernia,pinguino,0,
ANIMALI,cernia,delfino,0,
ANIMALI,cernia,pescepappagallo,0,
ANIMALI,cernia,mucca,0,
ANIMALI,cernia,tigre,0,
ANIMALI,cernia,cimice,0,
ANIMALI,cernia,ragno,0,
ANIMALI,cernia,folaga,0,
ANIMALI,cernia,faraona,0,
ANIMALI,cernia,scimmia,0,
ANIMALI,cernia,colombo,0,
ANIMALI,cernia,macaco,0,
ANIMALI,cernia,granchio,0,
ANIMALI,cernia,muflone,0,
ANIMALI,cernia,spigola,0,
ANIMALI,cernia,iena,0,
ANIMALI,cernia,furetto,0,
ANIMALI,cernia,stambecco,0,
ANIMALI,cernia,riccio,0,
ANIMALI,cernia,suino,0,
ANIMALI,cernia,trota,0,
ANIMALI,cernia,merlo,0,
ANIMALI,cernia,volpe,0,
ANIMALI,cernia,pernice,0,
ANIMALI,cernia,pescepalla,0,
ANIMALI,cernia,pollo,0,
ANIMALI,cernia,cervo,0,
ANIMALI,cernia,leone,0,
ANIMALI,cernia,gallo,0,
ANIMALI,cernia,ocelot,0,
ANIMALI,cernia,geco,0,
ANIMALI,cernia,tartaruga,0,
ANIMALI,cernia,pulce,0,
ANIMALI,cernia,mantide,0,
ANIMALI,cernia,facocero,0,
ANIMALI,cernia,pesce,0,
ANIMALI,cernia,scorpione,0,
ANIMALI,cernia,picchio,0,
ANIMALI,cernia,rondine,0,
ANIMALI,cernia,varano,0,
ANIMALI,cernia,zebra,0,
