subj,item1,item2,edge,
FRUTTA,mela,susina,1,
FRUTTA,mela,mora,0,
FRUTTA,mela,melacotogna,0,
FRUTTA,mela,uva,1,
FRUTTA,mela,mirtillo,0,
FRUTTA,mela,papaya,0,
FRUTTA,mela,prugna,0,
FRUTTA,mela,pesca,1,
FRUTTA,mela,nespola,0,
FRUTTA,mela,pompelmo,0,
FRUTTA,mela,melograno,0,
FRUTTA,mela,pera,1,
FRUTTA,susina,uva,0,
FRUTTA,avocado,mela,0,
FRUTTA,avocado,susina,0,
FRUTTA,avocado,corbezzolo,0,
FRUTTA,avocado,mora,1,
FRUTTA,avocado,melacotogna,0,
FRUTTA,avocado,ciliegia,0,
FRUTTA,avocado,bergamotto,0,
FRUTTA,avocado,uva,1,
FRUTTA,avocado,mirtillo,0,
FRUTTA,avocado,cachi,0,
FRUTTA,avocado,papaya,1,
FRUTTA,avocado,limone,0,
FRUTTA,avocado,prugna,0,
FRUTTA,avocado,kiwi,1,
FRUTTA,avocado,lampone,1,
FRUTTA,avocado,pesca,1,
FRUTTA,avocado,nespola,1,
FRUTTA,avocado,pompelmo,1,
FRUTTA,avocado,melograno,0,
FRUTTA,avocado,cocco,1,
FRUTTA,avocado,fico,0,
FRUTTA,avocado,dattero,0,
FRUTTA,avocado,banana,1,
FRUTTA,avocado,mandarino,1,
FRUTTA,avocado,ficodindia,0,
FRUTTA,avocado,cedro,1,
FRUTTA,avocado,lime,0,
FRUTTA,avocado,maracuja,1,
FRUTTA,avocado,pera,1,
FRUTTA,avocado,fruttodellapassione,0,
FRUTTA,avocado,mango,1,
FRUTTA,avocado,mangostano,0,
FRUTTA,avocado,fragola,1,
FRUTTA,corbezzolo,mela,0,
FRUTTA,corbezzolo,susina,0,
FRUTTA,corbezzolo,mora,0,
FRUTTA,corbezzolo,melacotogna,0,
FRUTTA,corbezzolo,uva,0,
FRUTTA,corbezzolo,mirtillo,0,
FRUTTA,corbezzolo,papaya,0,
FRUTTA,corbezzolo,limone,0,
