subj,item1,item2,edge,
VERDURA,melanzana,topinambur,0,
VERDURA,melanzana,timo,0,
VERDURA,melanzana,rucola,0,
VERDURA,melanzana,zucchina,1,
VERDURA,melanzana,zucca,0,
VERDURA,melanzana,verza,0,
VERDURA,melanzana,patata,0,
VERDURA,melanzana,sedano,0,
VERDURA,melanzana,rosmarino,0,
VERDURA,melanzana,porro,0,
VERDURA,melanzana,pomodoro,1,
VERDURA,melanzana,peperone,1,
VERDURA,melanzana,scarola,0,
VERDURA,melanzana,rapa,0,
VERDURA,melanzana,radicchio,0,
VERDURA,melanzana,spinacio,0,
VERDURA,melanzana,menta,0,
VERDURA,melanzana,patatarossa,0,
VERDURA,melanzana,pomodorociliegino,0,
VERDURA,melanzana,ravanello,0,
VERDURA,topinambur,zucchina,0,
VERDURA,topinambur,zucca,0,
VERDURA,topinambur,verza,0,
VERDURA,cavoloverza,melanzana,0,
VERDURA,cavoloverza,topinambur,0,
VERDURA,cavoloverza,cicoria,1,
VERDURA,cavoloverza,cetriolo,0,
VERDURA,cavoloverza,cipollarossa,0,
VERDURA,cavoloverza,timo,0,
VERDURA,cavoloverza,rucola,0,
VERDURA,cavoloverza,zucchina,0,
VERDURA,cavoloverza,zucca,0,
VERDURA,cavoloverza,fava,0,
VERDURA,cavoloverza,verza,0,
VERDURA,cavoloverza,patata,0,
VERDURA,cavoloverza,sedano,0,
VERDURA,cavoloverza,cipollabianca,0,
VERDURA,cavoloverza,rosmarino,0,
VERDURA,cavoloverza,porro,0,
VERDURA,cavoloverza,pomodoro,0,
VERDURA,cavoloverza,peperone,1,
VERDURA,cavoloverza,scarola,0,
VERDURA,cavoloverza,cimedirapa,1,
VERDURA,cavoloverza,rapa,0,
VERDURA,cavoloverza,radicchio,1,
VERDURA,cavoloverza,finocchio,0,
VERDURA,cavoloverza,cipollotto,0,
VERDURA,cavoloverza,spinacio,0,
VERDURA,cavoloverza,menta,0,
VERDURA,cavoloverza,lattuga,1,
VERDURA,cavoloverza,patatarossa,0,
VERDURA,cavoloverza,indivia,0,
VERDURA,cavoloverza,pomodorociliegino,0,
VERDURA,cavoloverza,cipolla,1,
VERDURA,cavoloverza,ravanello,0,
VERDURA,cicoria,melanzana,1,
VERDURA,cicoria,topinambur,0,
VERDURA,cicoria,cipollarossa,0,
VERDURA,cicoria,timo,0,
VERDURA,cicoria,rucola,1,
VERDURA,cicoria,zucchina,0,
VERDURA,cicoria,zucca,0,
VERDURA,cicoria,fava,1,
VERDURA,cicoria,verza,1,
VERDURA,cicoria,patata,0,
VERDURA,cicoria,sedano,1,
VERDURA,cicoria,cipollabianca,0,
VERDURA,cicoria,rosmarino,1,
VERDURA,cicoria,porro,0,
VERDURA,cicoria,pomodoro,0,
VERDURA,cicoria,peperone,0,
VERDURA,cicoria,scarola,1,
VERDURA,cicoria,cimedirapa,1,
VERDURA,cicoria,rapa,1,
VERDURA,cicoria,radicchio,1,
VERDURA,cicoria,finocchio,1,
VERDURA,cicoria,cipollotto,0,
VERDURA,cicoria,spinacio,0,
VERDURA,cicoria,menta,0,
VERDURA,cicoria,lattuga,1,
VERDURA,cicoria,patatarossa,0,
VERDURA,cicoria,indivia,1,
VERDURA,cicoria,pomodorociliegino,0,
VERDURA,cicoria,cipolla,1,
VERDURA,cicoria,ravanello,0,
VERDURA,cetriolo,melanzana,0,
VERDURA,cetriolo,topinambur,0,
VERDURA,cetriolo,cicoria,0,
VERDURA,cetriolo,cipollarossa,0,
VERDURA,cetriolo,timo,0,
VERDURA,cetriolo,rucola,1,
VERDURA,cetriolo,zucchina,0,
VERDURA,cetriolo,zucca,1,
VERDURA,cetriolo,fava,0,
VERDURA,cetriolo,verza,0,
VERDURA,cetriolo,patata,0,
VERDURA,cetriolo,sedano,0,
VERDURA,cetriolo,cipollabianca,0,
VERDURA,cetriolo,rosmarino,0,
VERDURA,cetriolo,porro,0,
VERDURA,cetriolo,pomodoro,1,
VERDURA,cetriolo,peperone,1,
VERDURA,cetriolo,scarola,0,
VERDURA,cetriolo,cimedirapa,0,
VERDURA,cetriolo,rapa,0,
VERDURA,cetriolo,radicchio,1,
VERDURA,cetriolo,finocchio,1,
VERDURA,cetriolo,cipollotto,0,
VERDURA,cetriolo,spinacio,0,
VERDURA,cetriolo,menta,0,
VERDURA,cetriolo,lattuga,0,
VERDURA,cetriolo,patatarossa,1,
VERDURA,cetriolo,indivia,0,
VERDURA,cetriolo,pomodorociliegino,0,
VERDURA,cetriolo,cipolla,0,
VERDURA,cetriolo,ravanello,0,
VERDURA,basilico,melanzana,1,
VERDURA,basilico,topinambur,0,
VERDURA,basilico,cavoloverza,0,
VERDURA,basilico,cicoria,0,
VERDURA,basilico,cetriolo,0,
VERDURA,basilico,cipollarossa,0,
VERDURA,basilico,timo,0,
VERDURA,basilico,rucola,0,
VERDURA,basilico,zucchina,0,
VERDURA,basilico,zucca,0,
VERDURA,basilico,fava,0,
VERDURA,basilico,verza,0,
VERDURA,basilico,patata,0,
VERDURA,basilico,sedano,0,
VERDURA,basilico,cavolocappuccio,0,
VERDURA,basilico,cavolo,0,
VERDURA,basilico,cipollabianca,0,
VERDURA,basilico,rosmarino,0,
VERDURA,basilico,cavolfiore,0,
VERDURA,basilico,porro,0,
VERDURA,basilico,pomodoro,0,
VERDURA,basilico,peperone,0,
VERDURA,basilico,scarola,0,
VERDURA,basilico,cimedirapa,0,
VERDURA,basilico,rapa,0,
VERDURA,basilico,radicchio,0,
VERDURA,basilico,finocchio,0,
VERDURA,basilico,cardo,0,
VERDURA,basilico,cipollotto,0,
VERDURA,basilico,broccolo,0,
VERDURA,basilico,spinacio,0,
VERDURA,basilico,menta,0,
VERDURA,basilico,lattuga,0,
VERDURA,basilico,cavolettidibruxelles,0,
VERDURA,basilico,patatarossa,0,
VERDURA,basilico,cavolfioreverde,0,
VERDURA,basilico,bietola,0,
VERDURA,basilico,carota,0,
VERDURA,basilico,cavolonero,0,
VERDURA,basilico,carciofo,0,
VERDURA,basilico,indivia,0,
VERDURA,basilico,pomodorociliegino,0,
VERDURA,basilico,cipolla,0,
VERDURA,basilico,ravanello,0,
VERDURA,cipollarossa,melanzana,0,
VERDURA,cipollarossa,topinambur,0,
VERDURA,cipollarossa,timo,0,
VERDURA,cipollarossa,rucola,0,
VERDURA,cipollarossa,zucchina,0,
VERDURA,cipollarossa,zucca,0,
VERDURA,cipollarossa,fava,0,
VERDURA,cipollarossa,verza,0,
VERDURA,cipollarossa,patata,0,
VERDURA,cipollarossa,sedano,0,
VERDURA,cipollarossa,rosmarino,0,
VERDURA,cipollarossa,porro,0,
VERDURA,cipollarossa,pomodoro,0,
VERDURA,cipollarossa,peperone,0,
VERDURA,cipollarossa,scarola,0,
VERDURA,cipollarossa,rapa,0,
VERDURA,cipollarossa,radicchio,0,
VERDURA,cipollarossa,finocchio,0,
VERDURA,cipollarossa,cipollotto,0,
VERDURA,cipollarossa,spinacio,0,
VERDURA,cipollarossa,menta,0,
VERDURA,cipollarossa,lattuga,0,
VERDURA,cipollarossa,patatarossa,0,
VERDURA,cipollarossa,indivia,0,
VERDURA,cipollarossa,pomodorociliegino,0,
VERDURA,cipollarossa,ravanello,0,
VERDURA,timo,topinambur,0,
VERDURA,timo,zucchina,0,
VERDURA,timo,zucca,0,
VERDURA,timo,verza,0,
VERDURA,rucola,topinambur,0,
VERDURA,rucola,timo,0,
VERDURA,rucola,zucchina,0,
VERDURA,rucola,zucca,0,
VERDURA,rucola,verza,0,
VERDURA,rucola,sedano,1,
VERDURA,rucola,scarola,1,
VERDURA,rucola,spinacio,0,
VERDURA,zucca,zucchina,1,
VERDURA,fava,melanzana,0,
VERDURA,fava,topinambur,0,
VERDURA,fava,timo,0,
VERDURA,fava,rucola,1,
VERDURA,fava,zucchina,1,
VERDURA,fava,zucca,1,
VERDURA,fava,verza,0,
VERDURA,fava,patata,0,
VERDURA,fava,sedano,0,
VERDURA,fava,rosmarino,0,
VERDURA,fava,porro,0,
VERDURA,fava,pomodoro,1,
VERDURA,fava,peperone,0,
VERDURA,fava,scarola,0,
VERDURA,fava,rapa,0,
VERDURA,fava,radicchio,0,
VERDURA,fava,finocchio,0,
VERDURA,fava,spinacio,0,
VERDURA,fava,menta,0,
VERDURA,fava,lattuga,0,
VERDURA,fava,patatarossa,0,
