id,category,cluster_switch_static,cluster_switch_fluid,switch_rate_static,cluster_size_static,cluster_size_fluid,perseverations,perseveration_words,intrusions,intrusion_words,avg_word_frequency,missing_word_freq_items,avg_aoa,missing_aoa_items
007-DlWW5ljGl,animali,0.0,0.0,0.0,1.0,1.0,0.0,[[]],1.0,"[[""banana""]]",9.530000000000001,[],4.76,[]
015-Wxp5TYig8,animali,2.5,2.5,0.1955128205128205,3.85,3.85,0.0,"[[], []]",1.5,"[[""animali"", ""attacchino""], [""allora""]]",0.8011538461538461,[],5.74,"[""allora"", ""animali"", ""attacchino"", ""canguro"", ""capra"", ""cavallo"", ""elefante"", ""gallo"", ""gatto"", ""giraffa"", ""ippopotamo"", ""leone"", ""maiale"", ""mucca"", ""pecora"", ""scimmia"", ""tigre""]"
AM-UlE0xR5eB,animali,10.5,10.5,0.46,1.8214285714285714,1.8214285714285714,6.0,"[[""gatto"", ""uccello"", ""elefante"", ""coniglio"", ""cane"", ""serpente""], [""gatto"", ""coniglio"", ""ippopotamo"", ""maiale"", ""pecora""]]",2.0,"[[""il"", ""stop""], [""top"", ""un""]]",18.55805,[],4.798333333333334,"[""asino"", ""canguro"", ""cavallo"", ""coniglio"", ""elefante"", ""farfalla"", ""fenicottero"", ""gallina"", ""gatto"", ""il"", ""ippopotamo"", ""leone"", ""maiale"", ""mucca"", ""pecora"", ""piccione"", ""serpente"", ""uccello"", ""un""]"
B1-Prq7S2alQ,animali,10.5,10.0,0.4114420062695925,1.9884615384615385,2.075,2.5,"[[], [""gatto"", ""usignolo"", ""serpente"", ""coniglio""]]",2.5,"[[""picione"", ""pachiderma"", ""vermi""], [""acqui"", ""terme""]]",0.8476097178683384,[],5.5025,"[""acqui"", ""anatra"", ""aragosta"", ""balena"", ""calabrone"", ""canarino"", ""cavallo"", ""coniglio"", ""delfino"", ""dromedario"", ""elefante"", ""foca"", ""gallina"", ""gallo"", ""gatto"", ""giraffa"", ""granchio"", ""merlo"", ""pachiderma"", ""pavone"", ""picione"", ""pinguino"", ""polpo"", ""rondine"", ""serpente"", ""sogliola"", ""tacchino"", ""terme"", ""usignolo"", ""verme"", ""vermi""]"
B10-gVKbNaY6G,animali,30.5,28.0,0.3853932584269663,2.198782961460446,2.387694145758662,23.0,"[[""iena"", ""gatto"", ""quant\u00e8"", ""criceto"", ""pettirosso"", ""elefante"", ""formica"", ""piccione"", ""cane"", ""leone"", ""merlo"", ""ghepardo"", ""opossum"", ""gabbiano"", ""topo""], [""koala"", ""elefante"", ""leone"", ""ghepardo"", ""gabbiano"", ""pettirosso"", ""criceto"", ""orango"", ""giaguaro"", ""tordo"", ""albatros"", ""topo"", ""leopardo"", ""gatto"", ""delfino"", ""tigre"", ""piccione"", ""cane"", ""merlo"", ""ippopotamo"", ""rinoceronte""]]",10.0,"[[""guardo"", ""quant\u00e8"", ""fringuello"", ""londra"", ""quant\u00e8"", ""linter"", ""albatros"", ""lumaca"", ""orango""], [""vino"", ""albatros"", ""luce"", ""orango"", ""albatros"", ""orango"", ""cri"", ""lumaca"", ""daino"", ""penna"", ""manda""]]",0.8547423756019261,[],7.216736111111111,"[""albatros"", ""alce"", ""aquila"", ""asino"", ""balena"", ""caimano"", ""calabrone"", ""canguro"", ""carpa"", ""cavallo"", ""cernia"", ""cervo"", ""cimice"", ""coccodrillo"", ""corvo"", ""cri"", ""criceto"", ""daino"", ""delfino"", ""elefante"", ""facocero"", ""falco"", ""formica"", ""fringuello"", ""gabbiano"", ""gatto"", ""ghepardo"", ""giaguaro"", ""gibbone"", ""giraffa"", ""granchio"", ""guardo"", ""iena"", ""ippopotamo"", ""leone"", ""leopardo"", ""lince"", ""linter"", ""londra"", ""luce"", ""lumaca"", ""lupo"", ""macaco"", ""maiale"", ""manda"", ""merlo"", ""mulo"", ""nutria"", ""orango"", ""passero"", ""penna"", ""pescerosso"", ""pettirosso"", ""piccione"", ""quant\u00e8"", ""ratto"", ""rinoceronte"", ""rospo"", ""scimmia"", ""squalobalena"", ""tartaruga"", ""tigre"", ""tonno"", ""topo"", ""tordo"", ""trota"", ""vespa"", ""vino""]"
F2-dhpmHFq1G,animali,16.5,15.5,0.5080645161290323,1.7140522875816995,1.8216911764705883,4.0,"[[""gatto"", ""serpente"", ""cane""], [""gatto"", ""canguro"", ""cane"", ""oca"", ""serpente""]]",2.5,"[[""e"", ""cinciallegra"", ""scimpanz\u00e8""], [""\u00e8"", ""allora""]]",1.1919924098671726,[],5.75875,"[""allora"", ""balena"", ""bradipo"", ""calabrone"", ""canguro"", ""cavallo"", ""cavallucciomarino"", ""cinciallegra"", ""coccodrillo"", ""coniglio"", ""criceto"", ""dromedario"", ""e"", ""fenicottero"", ""formica"", ""formichiere"", ""gatto"", ""ghepardo"", ""leone"", ""leopardo"", ""millepiedi"", ""oca"", ""pantera"", ""passero"", ""pesce"", ""porcospino"", ""ragno"", ""scarafaggio"", ""scimmia"", ""scimpanz\u00e8"", ""serpente"", ""stellamarina"", ""struzzo"", ""tartaruga"", ""tigre"", ""topo"", ""uccello"", ""verme"", ""vespa"", ""\u00e8""]"
FR-OZRElyHln,animali,6.5,6.5,0.4304812834224599,1.8068181818181817,1.8068181818181817,1.5,"[[""gatto"", ""topo"", ""cane""], []]",2.0,"[[""salmo"", ""cinciallegra""], [""ok"", ""daino""]]",1.3164973262032085,[],5.74,"[""cinciallegra"", ""coccodrillo"", ""daino"", ""elefante"", ""facocero"", ""gatto"", ""ghepardo"", ""insetto"", ""leone"", ""leopardo"", ""lucertola"", ""ok"", ""picchio"", ""ragno"", ""salmo"", ""salmone"", ""topo""]"
G8-cGldm2HyP,animali,31.5,28.5,0.37935540069686413,2.1864326375711576,2.4095622119815667,27.0,"[[""cervo"", ""leone"", ""lepre"", ""ghepardo"", ""new"", ""tartaruga"", ""avvoltoio"", ""orango"", ""zebra"", ""giraffa"", ""aquila"", ""serpente"", ""pantera"", ""delfino"", ""gatto"", ""leopardo"", ""tigre"", ""cornacchia"", ""cinciallegra"", ""cerbiatto"", ""scimmia"", ""cane"", ""balena"", ""volpe"", ""orso""], [""gatto"", ""blatta"", ""elefante"", ""tigre"", ""cervo"", ""cane"", ""leone"", ""giraffa"", ""ippopotamo"", ""scimmia"", ""volpe"", ""serpente"", ""maiale"", ""gallina"", ""daino"", ""e"", ""pantera"", ""orso""]]",12.0,"[[""cavolo"", ""new"", ""orango"", ""fringuello"", ""cinciallegra"", ""cinciallegra"", ""e"", ""new"", ""orango"", ""cerbiatto"", ""cerbiatto"", ""il"", ""daino""], [""allora"", ""orango"", ""cinciallegra"", ""dunque"", ""new"", ""cerbiatto"", ""daino"", ""e"", ""daino"", ""e"", ""occa""]]",13.988241869918697,[],5.4878333333333345,"[""allora"", ""anguilla"", ""aquila"", ""avvoltoio"", ""balena"", ""blatta"", ""capra"", ""carpa"", ""cavallo"", ""cavolo"", ""cerbiatto"", ""cervo"", ""cimice"", ""cinciallegra"", ""cinghiale"", ""coccodrillo"", ""coniglio"", ""corallo"", ""cornacchia"", ""corvo"", ""daino"", ""delfino"", ""donnola"", ""dunque"", ""e"", ""elefante"", ""farfalla"", ""fringuello"", ""furetto"", ""gallina"", ""gatto"", ""gazzella"", ""ghepardo"", ""giraffa"", ""granchio"", ""il"", ""ippopotamo"", ""leone"", ""leopardo"", ""lepre"", ""libellula"", ""lucciola"", ""lupo"", ""maiale"", ""medusa"", ""muflone"", ""occa"", ""orango"", ""orata"", ""orca"", ""ornitorinco"", ""orso"", ""pantera"", ""papera"", ""passero"", ""pulce"", ""pulcino"", ""rana"", ""riccio"", ""rinoceronte"", ""rospo"", ""scarafaggio"", ""scimmia"", ""scoiattolo"", ""serpente"", ""squalo"", ""stambecco"", ""tartaruga"", ""tigre"", ""triglia"", ""volpe"", ""zanzara""]"
M4-wLuVAzTiV,animali,12.5,11.5,0.5681818181818181,1.4065934065934065,1.5256410256410255,4.5,"[[""gatto"", ""coccodrillo"", ""tigre"", ""asino"", ""cane"", ""cavallo""], [""giraffa"", ""coccodrillo""]]",3.0,"[[""hamburger"", ""e""], [""mahmood"", ""animale"", ""tante"", ""pass\u00e9""]]",1.1993181818181817,[],5.651666666666666,"[""animale"", ""asino"", ""bue"", ""cavallo"", ""cinghiale"", ""coccodrillo"", ""cornacchia"", ""e"", ""farfalla"", ""foca"", ""gallina"", ""gatto"", ""giraffa"", ""leone"", ""lucertola"", ""mahmood"", ""pass\u00e9"", ""pecora"", ""piccione"", ""rondine"", ""scoiattolo"", ""scorpione"", ""tante"", ""tigre"", ""topo""]"
M6 (2)-qAVM25oJp,animali,15.0,14.5,0.5647058823529412,1.5728744939271255,1.6196581196581197,4.5,"[[""dromedario"", ""cane"", ""verme"", ""gallina"", ""orso""], [""orso"", ""serpente"", ""cane""]]",1.5,"[[""malena"", ""toro""], [""toro""]]",1.1217941176470587,[],5.74,"[""agnello"", ""anatra"", ""aquila"", ""balena"", ""cammello"", ""coccodrillo"", ""coniglio"", ""cornacchia"", ""dromedario"", ""foca"", ""gallina"", ""gallo"", ""gatto"", ""lama"", ""lucertola"", ""lupo"", ""malena"", ""oca"", ""orso"", ""pappagallo"", ""pecora"", ""pesce"", ""piccione"", ""pulcino"", ""serpente"", ""struzzo"", ""tacchino"", ""tartaruga"", ""topo"", ""toro"", ""varano"", ""verme"", ""volpe""]"
