subj,item1,item2,edge,
ANIMALI,corvo,scarafaggio,0,
ANIMALI,corvo,gabbiano,0,
ANIMALI,corvo,koala,0,
ANIMALI,corvo,ghiro,0,
ANIMALI,corvo,serpentetigre,0,
ANIMALI,corvo,marmotta,0,
ANIMALI,corvo,ippopotamo,0,
ANIMALI,corvo,pitone,0,
ANIMALI,corvo,piccione,1,
ANIMALI,corvo,leopardo,0,
ANIMALI,corvo,pulcino,0,
ANIMALI,corvo,ermellino,0,
ANIMALI,corvo,salmone,0,
ANIMALI,corvo,vespa,0,
ANIMALI,corvo,zanzara,0,
ANIMALI,corvo,rinoceronte,0,
ANIMALI,corvo,lince,0,
ANIMALI,corvo,gufo,0,
ANIMALI,corvo,tigre,0,
ANIMALI,corvo,mucca,0,
ANIMALI,corvo,falco,0,
ANIMALI,corvo,tacchino,0,
ANIMALI,corvo,pernice,0,
ANIMALI,corvo,gattopardo,0,
ANIMALI,corvo,passero,1,
ANIMALI,corvo,ghepardo,0,
ANIMALI,corvo,merlo,0,
ANIMALI,corvo,giraffa,1,
ANIMALI,corvo,mantide,0,
ANIMALI,corvo,mosca,0,
ANIMALI,corvo,puma,0,
ANIMALI,corvo,orsonero,0,
ANIMALI,corvo,donnola,0,
ANIMALI,corvo,tartaruga,0,
ANIMALI,corvo,gorilla,0,
ANIMALI,corvo,orsobruno,0,
ANIMALI,corvo,tortora,0,
ANIMALI,corvo,uccello,0,
ANIMALI,corvo,pescerosso,0,
ANIMALI,corvo,gallo,0,
ANIMALI,corvo,varano,0,
ANIMALI,corvo,stambecco,0,
ANIMALI,corvo,porcospino,0,
ANIMALI,corvo,dromedario,0,
ANIMALI,corvo,macaco,0,
ANIMALI,corvo,oca,0,
ANIMALI,corvo,pipistrello,0,
ANIMALI,corvo,rondone,0,
ANIMALI,corvo,picchio,1,
ANIMALI,corvo,riccio,0,
ANIMALI,corvo,pecora,0,
ANIMALI,corvo,maiale,0,
ANIMALI,corvo,triglia,0,
ANIMALI,corvo,gatto,0,
ANIMALI,corvo,scimmia,0,
ANIMALI,corvo,ratto,0,
ANIMALI,corvo,lontra,0,
ANIMALI,corvo,lama,0,
ANIMALI,corvo,usignolo,0,
ANIMALI,corvo,spigola,0,
ANIMALI,corvo,facocero,0,
ANIMALI,corvo,gamberone,0,
ANIMALI,corvo,pavone,0,
ANIMALI,corvo,pettirosso,0,
ANIMALI,corvo,gazzella,0,
ANIMALI,corvo,orso,0,
ANIMALI,corvo,rondine,0,
ANIMALI,corvo,furetto,0,
ANIMALI,corvo,serpente,0,
ANIMALI,corvo,ragno,0,
ANIMALI,corvo,lucciola,0,
ANIMALI,corvo,iena,0,
ANIMALI,corvo,pulce,0,
ANIMALI,corvo,zebra,0,
ANIMALI,corvo,pinguino,0,
ANIMALI,corvo,gibbone,0,
ANIMALI,corvo,lepre,0,
ANIMALI,corvo,trota,0,
ANIMALI,corvo,granchio,0,
ANIMALI,corvo,foca,0,
ANIMALI,corvo,papera,0,
ANIMALI,corvo,medusa,0,
ANIMALI,corvo,fenicottero,0,
ANIMALI,corvo,pantera,0,
ANIMALI,corvo,vipera,0,
ANIMALI,corvo,pappagallo,0,
ANIMALI,corvo,lupo,0,
ANIMALI,corvo,mulo,0,
ANIMALI,corvo,orata,0,
ANIMALI,corvo,libellula,0,
ANIMALI,corvo,squalobalena,0,
ANIMALI,corvo,tonno,0,
ANIMALI,corvo,millepiedi,0,
ANIMALI,corvo,stellamarina,0,
ANIMALI,corvo,topo,0,
ANIMALI,corvo,tordo,0,
ANIMALI,corvo,pesce,0,
ANIMALI,corvo,leonessa,0,
ANIMALI,corvo,scoiattolo,0,
ANIMALI,corvo,opossum,0,
ANIMALI,corvo,panda,0,
ANIMALI,corvo,gallina,0,
ANIMALI,corvo,pollo,0,
ANIMALI,corvo,elefante,0,
ANIMALI,corvo,formica,0,
ANIMALI,corvo,lemure,0,
ANIMALI,corvo,criceto,0,
ANIMALI,corvo,squalo,0,
ANIMALI,corvo,ornitorinco,0,
ANIMALI,corvo,insetto,0,
ANIMALI,corvo,sgombro,0,
ANIMALI,corvo,struzzo,0,
ANIMALI,corvo,rospo,1,
ANIMALI,corvo,geco,0,
ANIMALI,corvo,termite,0,
ANIMALI,corvo,volpe,0,
ANIMALI,corvo,sparviero,0,
ANIMALI,corvo,rana,0,
ANIMALI,corvo,lucertola,0,
ANIMALI,corvo,ocelot,0,
ANIMALI,corvo,delfino,0,
ANIMALI,corvo,nutria,0,
ANIMALI,corvo,scorpione,0,
ANIMALI,corvo,orca,0,
ANIMALI,corvo,polpo,0,
ANIMALI,corvo,cuculo,0,
ANIMALI,corvo,farfalla,0,
ANIMALI,corvo,sogliola,0,
ANIMALI,corvo,talpa,0,
ANIMALI,corvo,giaguaro,0,
ANIMALI,corvo,folaga,0,
ANIMALI,corvo,leone,0,
ANIMALI,corvo,verme,0,
ANIMALI,corvo,muflone,0,
ANIMALI,corvo,formichiere,0,
ANIMALI,scarafaggio,serpentetigre,0,
ANIMALI,scarafaggio,vespa,0,
ANIMALI,scarafaggio,zanzara,0,
ANIMALI,scarafaggio,tigre,0,
ANIMALI,scarafaggio,tacchino,0,
ANIMALI,scarafaggio,tartaruga,0,
ANIMALI,scarafaggio,tortora,0,
ANIMALI,scarafaggio,uccello,0,
ANIMALI,scarafaggio,varano,0,
ANIMALI,scarafaggio,stambecco,0,
ANIMALI,scarafaggio,triglia,0,
ANIMALI,scarafaggio,scimmia,0,
ANIMALI,scarafaggio,usignolo,0,
ANIMALI,scarafaggio,spigola,0,
ANIMALI,scarafaggio,serpente,0,
ANIMALI,scarafaggio,zebra,0,
ANIMALI,scarafaggio,trota,0,
ANIMALI,scarafaggio,vipera,0,
ANIMALI,scarafaggio,squalobalena,0,
ANIMALI,scarafaggio,tonno,0,
ANIMALI,scarafaggio,stellamarina,0,
ANIMALI,scarafaggio,topo,0,
ANIMALI,scarafaggio,tordo,0,
ANIMALI,scarafaggio,scoiattolo,0,
ANIMALI,scarafaggio,squalo,0,
ANIMALI,scarafaggio,sgombro,0,
ANIMALI,scarafaggio,struzzo,0,
ANIMALI,scarafaggio,termite,0,
ANIMALI,scarafaggio,volpe,0,
ANIMALI,scarafaggio,sparviero,0,
ANIMALI,scarafaggio,scorpione,0,
ANIMALI,scarafaggio,sogliola,0,
ANIMALI,scarafaggio,talpa,0,
ANIMALI,scarafaggio,verme,0,
ANIMALI,gabbiano,scarafaggio,0,
ANIMALI,gabbiano,koala,0,
ANIMALI,gabbiano,ghiro,0,
ANIMALI,gabbiano,serpentetigre,0,
ANIMALI,gabbiano,marmotta,0,
ANIMALI,gabbiano,ippopotamo,0,
ANIMALI,gabbiano,pitone,0,
ANIMALI,gabbiano,piccione,1,
ANIMALI,gabbiano,leopardo,0,
ANIMALI,gabbiano,pulcino,0,
ANIMALI,gabbiano,salmone,0,
ANIMALI,gabbiano,vespa,0,
ANIMALI,gabbiano,zanzara,0,
ANIMALI,gabbiano,rinoceronte,0,
ANIMALI,gabbiano,lince,0,
ANIMALI,gabbiano,gufo,0,
ANIMALI,gabbiano,tigre,0,
ANIMALI,gabbiano,mucca,0,
ANIMALI,gabbiano,tacchino,0,
ANIMALI,gabbiano,pernice,0,
ANIMALI,gabbiano,gattopardo,0,
ANIMALI,gabbiano,passero,0,
ANIMALI,gabbiano,ghepardo,0,
ANIMALI,gabbiano,merlo,1,
ANIMALI,gabbiano,giraffa,0,
ANIMALI,gabbiano,mantide,1,
ANIMALI,gabbiano,mosca,0,
ANIMALI,gabbiano,puma,0,
ANIMALI,gabbiano,orsonero,0,
ANIMALI,gabbiano,tartaruga,0,
ANIMALI,gabbiano,gorilla,0,
ANIMALI,gabbiano,orsobruno,0,
ANIMALI,gabbiano,tortora,0,
ANIMALI,gabbiano,uccello,0,
ANIMALI,gabbiano,pescerosso,0,
ANIMALI,gabbiano,gallo,0,
ANIMALI,gabbiano,varano,0,
ANIMALI,gabbiano,stambecco,0,
ANIMALI,gabbiano,porcospino,0,
ANIMALI,gabbiano,macaco,0,
ANIMALI,gabbiano,oca,0,
ANIMALI,gabbiano,pipistrello,0,
ANIMALI,gabbiano,rondone,0,
ANIMALI,gabbiano,picchio,1,
ANIMALI,gabbiano,riccio,0,
ANIMALI,gabbiano,pecora,0,
ANIMALI,gabbiano,maiale,0,
ANIMALI,gabbiano,triglia,0,
ANIMALI,gabbiano,gatto,0,
ANIMALI,gabbiano,scimmia,0,
ANIMALI,gabbiano,ratto,0,
ANIMALI,gabbiano,lontra,0,
ANIMALI,gabbiano,lama,0,
ANIMALI,gabbiano,usignolo,0,
ANIMALI,gabbiano,spigola,0,
ANIMALI,gabbiano,gamberone,0,
ANIMALI,gabbiano,pavone,0,
ANIMALI,gabbiano,pettirosso,0,
ANIMALI,gabbiano,gazzella,0,
ANIMALI,gabbiano,orso,0,
ANIMALI,gabbiano,rondine,1,
ANIMALI,gabbiano,serpente,0,
ANIMALI,gabbiano,ragno,0,
