subj,item1,item2,edge,
VERDURA,indivia,verza,0,
VERDURA,indivia,zucchina,0,
VERDURA,indivia,spinacio,0,
VERDURA,indivia,melanzana,0,
VERDURA,indivia,radicchio,0,
VERDURA,indivia,patata,0,
VERDURA,indivia,rapa,0,
VERDURA,indivia,rucola,0,
VERDURA,indivia,patatarossa,0,
VERDURA,indivia,pomodoro,0,
VERDURA,indivia,sedano,0,
VERDURA,indivia,timo,0,
VERDURA,indivia,scarola,0,
VERDURA,indivia,lattuga,0,
VERDURA,indivia,ravanello,0,
VERDURA,indivia,porro,0,
VERDURA,indivia,topinambur,0,
VERDURA,indivia,zucca,0,
VERDURA,indivia,peperone,0,
VERDURA,indivia,rosmarino,0,
VERDURA,cardo,indivia,0,
VERDURA,cardo,verza,0,
VERDURA,cardo,zucchina,0,
VERDURA,cardo,cavolo,0,
VERDURA,cardo,finocchio,0,
VERDURA,cardo,cavolettidibruxelles,0,
VERDURA,cardo,cipolla,0,
VERDURA,cardo,cimedirapa,0,
VERDURA,cardo,spinacio,0,
VERDURA,cardo,cicoria,0,
VERDURA,cardo,cipollarossa,0,
VERDURA,cardo,melanzana,0,
VERDURA,cardo,radicchio,0,
VERDURA,cardo,patata,0,
VERDURA,cardo,rapa,0,
VERDURA,cardo,cavolfiore,0,
VERDURA,cardo,rucola,0,
VERDURA,cardo,cavolocappuccio,0,
VERDURA,cardo,patatarossa,0,
VERDURA,cardo,cavolonero,0,
VERDURA,cardo,cavoloverza,0,
VERDURA,cardo,pomodoro,0,
VERDURA,cardo,sedano,0,
VERDURA,cardo,timo,0,
VERDURA,cardo,scarola,0,
VERDURA,cardo,lattuga,0,
VERDURA,cardo,carota,0,
VERDURA,cardo,ravanello,0,
VERDURA,cardo,porro,0,
VERDURA,cardo,cipollabianca,0,
VERDURA,cardo,topinambur,0,
VERDURA,cardo,zucca,0,
VERDURA,cardo,cetriolo,0,
VERDURA,cardo,peperone,0,
VERDURA,cardo,rosmarino,0,
VERDURA,verza,zucchina,0,
VERDURA,verza,zucca,0,
VERDURA,cavolo,indivia,0,
VERDURA,cavolo,verza,0,
VERDURA,cavolo,zucchina,0,
VERDURA,cavolo,finocchio,0,
VERDURA,cavolo,cipolla,0,
VERDURA,cavolo,cimedirapa,0,
VERDURA,cavolo,spinacio,0,
VERDURA,cavolo,cicoria,0,
VERDURA,cavolo,cipollarossa,0,
VERDURA,cavolo,melanzana,0,
VERDURA,cavolo,radicchio,0,
VERDURA,cavolo,patata,0,
VERDURA,cavolo,rapa,0,
VERDURA,cavolo,rucola,0,
VERDURA,cavolo,cavolocappuccio,0,
VERDURA,cavolo,patatarossa,0,
VERDURA,cavolo,cavolonero,0,
VERDURA,cavolo,cavoloverza,0,
VERDURA,cavolo,pomodoro,0,
VERDURA,cavolo,sedano,0,
VERDURA,cavolo,timo,0,
VERDURA,cavolo,scarola,0,
VERDURA,cavolo,lattuga,0,
VERDURA,cavolo,ravanello,0,
VERDURA,cavolo,porro,0,
VERDURA,cavolo,cipollabianca,0,
VERDURA,cavolo,topinambur,0,
VERDURA,cavolo,zucca,0,
VERDURA,cavolo,cetriolo,0,
VERDURA,cavolo,peperone,0,
VERDURA,cavolo,rosmarino,0,
VERDURA,finocchio,indivia,0,
VERDURA,finocchio,verza,0,
VERDURA,finocchio,zucchina,0,
VERDURA,finocchio,spinacio,0,
VERDURA,finocchio,melanzana,0,
VERDURA,finocchio,radicchio,0,
VERDURA,finocchio,patata,0,
VERDURA,finocchio,rapa,0,
VERDURA,finocchio,rucola,0,
VERDURA,finocchio,patatarossa,0,
VERDURA,finocchio,pomodoro,0,
VERDURA,finocchio,sedano,0,
VERDURA,finocchio,timo,0,
VERDURA,finocchio,scarola,0,
VERDURA,finocchio,lattuga,0,
VERDURA,finocchio,ravanello,0,
VERDURA,finocchio,porro,0,
VERDURA,finocchio,topinambur,0,
VERDURA,finocchio,zucca,0,
VERDURA,finocchio,peperone,0,
VERDURA,finocchio,rosmarino,0,
VERDURA,cavolettidibruxelles,indivia,0,
VERDURA,cavolettidibruxelles,verza,0,
VERDURA,cavolettidibruxelles,zucchina,0,
VERDURA,cavolettidibruxelles,cavolo,0,
VERDURA,cavolettidibruxelles,finocchio,0,
VERDURA,cavolettidibruxelles,cipolla,0,
VERDURA,cavolettidibruxelles,cimedirapa,0,
VERDURA,cavolettidibruxelles,spinacio,0,
VERDURA,cavolettidibruxelles,cicoria,0,
VERDURA,cavolettidibruxelles,cipollarossa,0,
VERDURA,cavolettidibruxelles,melanzana,0,
VERDURA,cavolettidibruxelles,radicchio,0,
VERDURA,cavolettidibruxelles,patata,0,
VERDURA,cavolettidibruxelles,rapa,0,
