id,category,cluster_switch_static,cluster_switch_fluid,switch_rate_static,cluster_size_static,cluster_size_fluid,perseverations,perseveration_words,intrusions,intrusion_words,avg_word_frequency,missing_word_freq_items,avg_aoa,missing_aoa_items
AM-UlE0xR5eB,animali,10.5,10.5,0.46,1.8214285714285714,1.8214285714285714,6.0,"[[""gatto"", ""elefante"", ""coniglio"", ""uccello"", ""cane"", ""serpente""], [""ippopotamo"", ""gatto"", ""pecora"", ""coniglio"", ""maiale""]]",2.0,"[[""il"", ""stop""], [""top"", ""un""]]",18.55805,[],4.798333333333334,"[""asino"", ""canguro"", ""cavallo"", ""coniglio"", ""elefante"", ""farfalla"", ""fenicottero"", ""gallina"", ""gatto"", ""il"", ""ippopotamo"", ""leone"", ""maiale"", ""mucca"", ""pecora"", ""piccione"", ""serpente"", ""uccello"", ""un""]"
B1-Prq7S2alQ,animali,10.5,10.0,0.4114420062695925,1.9884615384615385,2.075,2.5,"[[], [""coniglio"", ""usignolo"", ""gatto"", ""serpente""]]",2.5,"[[""picione"", ""pachiderma"", ""vermi""], [""acqui"", ""terme""]]",0.8476097178683384,[],5.5025,"[""acqui"", ""anatra"", ""aragosta"", ""balena"", ""calabrone"", ""canarino"", ""cavallo"", ""coniglio"", ""delfino"", ""dromedario"", ""elefante"", ""foca"", ""gallina"", ""gallo"", ""gatto"", ""giraffa"", ""granchio"", ""merlo"", ""pachiderma"", ""pavone"", ""picione"", ""pinguino"", ""polpo"", ""rondine"", ""serpente"", ""sogliola"", ""tacchino"", ""terme"", ""usignolo"", ""verme"", ""vermi""]"
B10-gVKbNaY6G,animali,30.5,28.0,0.3853932584269663,2.198782961460446,2.387694145758662,23.0,"[[""quant\u00e8"", ""ghepardo"", ""merlo"", ""gatto"", ""gabbiano"", ""pettirosso"", ""opossum"", ""iena"", ""piccione"", ""elefante"", ""formica"", ""leone"", ""criceto"", ""cane"", ""topo""], [""tordo"", ""gabbiano"", ""pettirosso"", ""koala"", ""elefante"", ""criceto"", ""cane"", ""ippopotamo"", ""piccione"", ""leopardo"", ""delfino"", ""orango"", ""rinoceronte"", ""tigre"", ""ghepardo"", ""merlo"", ""gatto"", ""giaguaro"", ""leone"", ""albatros"", ""topo""]]",10.0,"[[""guardo"", ""quant\u00e8"", ""fringuello"", ""londra"", ""quant\u00e8"", ""linter"", ""albatros"", ""lumaca"", ""orango""], [""vino"", ""albatros"", ""luce"", ""orango"", ""albatros"", ""orango"", ""cri"", ""lumaca"", ""daino"", ""penna"", ""manda""]]",0.8547423756019261,[],7.216736111111111,"[""albatros"", ""alce"", ""aquila"", ""asino"", ""balena"", ""caimano"", ""calabrone"", ""canguro"", ""carpa"", ""cavallo"", ""cernia"", ""cervo"", ""cimice"", ""coccodrillo"", ""corvo"", ""cri"", ""criceto"", ""daino"", ""delfino"", ""elefante"", ""facocero"", ""falco"", ""formica"", ""fringuello"", ""gabbiano"", ""gatto"", ""ghepardo"", ""giaguaro"", ""gibbone"", ""giraffa"", ""granchio"", ""guardo"", ""iena"", ""ippopotamo"", ""leone"", ""leopardo"", ""lince"", ""linter"", ""londra"", ""luce"", ""lumaca"", ""lupo"", ""macaco"", ""maiale"", ""manda"", ""merlo"", ""mulo"", ""nutria"", ""orango"", ""passero"", ""penna"", ""pescerosso"", ""pettirosso"", ""piccione"", ""quant\u00e8"", ""ratto"", ""rinoceronte"", ""rospo"", ""scimmia"", ""squalobalena"", ""tartaruga"", ""tigre"", ""tonno"", ""topo"", ""tordo"", ""trota"", ""vespa"", ""vino""]"
F2-dhpmHFq1G,animali,16.5,15.5,0.5080645161290323,1.7140522875816995,1.8216911764705883,4.0,"[[""cane"", ""gatto"", ""serpente""], [""gatto"", ""cane"", ""canguro"", ""oca"", ""serpente""]]",2.5,"[[""e"", ""cinciallegra"", ""scimpanz\u00e8""], [""\u00e8"", ""allora""]]",1.1919924098671726,[],5.75875,"[""allora"", ""balena"", ""bradipo"", ""calabrone"", ""canguro"", ""cavallo"", ""cavallucciomarino"", ""cinciallegra"", ""coccodrillo"", ""coniglio"", ""criceto"", ""dromedario"", ""e"", ""fenicottero"", ""formica"", ""formichiere"", ""gatto"", ""ghepardo"", ""leone"", ""leopardo"", ""millepiedi"", ""oca"", ""pantera"", ""passero"", ""pesce"", ""porcospino"", ""ragno"", ""scarafaggio"", ""scimmia"", ""scimpanz\u00e8"", ""serpente"", ""stellamarina"", ""struzzo"", ""tartaruga"", ""tigre"", ""topo"", ""uccello"", ""verme"", ""vespa"", ""\u00e8""]"
FR-OZRElyHln,animali,6.5,6.5,0.4304812834224599,1.8068181818181817,1.8068181818181817,1.5,"[[""cane"", ""topo"", ""gatto""], []]",2.0,"[[""salmo"", ""cinciallegra""], [""ok"", ""daino""]]",1.3164973262032085,[],5.74,"[""cinciallegra"", ""coccodrillo"", ""daino"", ""elefante"", ""facocero"", ""gatto"", ""ghepardo"", ""insetto"", ""leone"", ""leopardo"", ""lucertola"", ""ok"", ""picchio"", ""ragno"", ""salmo"", ""salmone"", ""topo""]"
G8-cGldm2HyP,animali,31.5,28.5,0.37935540069686413,2.1864326375711576,2.4095622119815667,27.0,"[[""orso"", ""balena"", ""cane"", ""serpente"", ""volpe"", ""leopardo"", ""cerbiatto"", ""delfino"", ""avvoltoio"", ""zebra"", ""cinciallegra"", ""cornacchia"", ""orango"", ""lepre"", ""aquila"", ""tigre"", ""new"", ""pantera"", ""ghepardo"", ""cervo"", ""gatto"", ""giraffa"", ""scimmia"", ""leone"", ""tartaruga""], [""ippopotamo"", ""pantera"", ""cervo"", ""gatto"", ""giraffa"", ""blatta"", ""scimmia"", ""volpe"", ""orso"", ""elefante"", ""gallina"", ""leone"", ""daino"", ""tigre"", ""maiale"", ""cane"", ""e"", ""serpente""]]",12.0,"[[""cavolo"", ""new"", ""orango"", ""fringuello"", ""cinciallegra"", ""cinciallegra"", ""e"", ""new"", ""orango"", ""cerbiatto"", ""cerbiatto"", ""il"", ""daino""], [""allora"", ""orango"", ""cinciallegra"", ""dunque"", ""new"", ""cerbiatto"", ""daino"", ""e"", ""daino"", ""e"", ""occa""]]",13.988241869918697,[],5.4878333333333345,"[""allora"", ""anguilla"", ""aquila"", ""avvoltoio"", ""balena"", ""blatta"", ""capra"", ""carpa"", ""cavallo"", ""cavolo"", ""cerbiatto"", ""cervo"", ""cimice"", ""cinciallegra"", ""cinghiale"", ""coccodrillo"", ""coniglio"", ""corallo"", ""cornacchia"", ""corvo"", ""daino"", ""delfino"", ""donnola"", ""dunque"", ""e"", ""elefante"", ""farfalla"", ""fringuello"", ""furetto"", ""gallina"", ""gatto"", ""gazzella"", ""ghepardo"", ""giraffa"", ""granchio"", ""il"", ""ippopotamo"", ""leone"", ""leopardo"", ""lepre"", ""libellula"", ""lucciola"", ""lupo"", ""maiale"", ""medusa"", ""muflone"", ""occa"", ""orango"", ""orata"", ""orca"", ""ornitorinco"", ""orso"", ""pantera"", ""papera"", ""passero"", ""pulce"", ""pulcino"", ""rana"", ""riccio"", ""rinoceronte"", ""rospo"", ""scarafaggio"", ""scimmia"", ""scoiattolo"", ""serpente"", ""squalo"", ""stambecco"", ""tartaruga"", ""tigre"", ""triglia"", ""volpe"", ""zanzara""]"
M4-wLuVAzTiV,animali,12.5,11.5,0.5681818181818181,1.4065934065934065,1.5256410256410255,4.5,"[[""gatto"", ""asino"", ""tigre"", ""cane"", ""coccodrillo"", ""cavallo""], [""coccodrillo"", ""giraffa""]]",3.0,"[[""hamburger"", ""e""], [""mahmood"", ""animale"", ""tante"", ""pass\u00e9""]]",1.1993181818181817,[],5.651666666666666,"[""animale"", ""asino"", ""bue"", ""cavallo"", ""cinghiale"", ""coccodrillo"", ""cornacchia"", ""e"", ""farfalla"", ""foca"", ""gallina"", ""gatto"", ""giraffa"", ""leone"", ""lucertola"", ""mahmood"", ""pass\u00e9"", ""pecora"", ""piccione"", ""rondine"", ""scoiattolo"", ""scorpione"", ""tante"", ""tigre"", ""topo""]"
M6 (2)-qAVM25oJp,animali,15.0,14.5,0.5647058823529412,1.5728744939271255,1.6196581196581197,4.5,"[[""orso"", ""gallina"", ""verme"", ""dromedario"", ""cane""], [""cane"", ""orso"", ""serpente""]]",1.5,"[[""malena"", ""toro""], [""toro""]]",1.1217941176470587,[],5.74,"[""agnello"", ""anatra"", ""aquila"", ""balena"", ""cammello"", ""coccodrillo"", ""coniglio"", ""cornacchia"", ""dromedario"", ""foca"", ""gallina"", ""gallo"", ""gatto"", ""lama"", ""lucertola"", ""lupo"", ""malena"", ""oca"", ""orso"", ""pappagallo"", ""pecora"", ""pesce"", ""piccione"", ""pulcino"", ""serpente"", ""struzzo"", ""tacchino"", ""tartaruga"", ""topo"", ""toro"", ""varano"", ""verme"", ""volpe""]"
M7-r3VC9GviQ,animali,30.0,28.0,0.48572924849437027,1.7708333333333335,1.8928571428571428,23.0,"[[""gatto"", ""giraffa"", ""balena"", ""pecora"", ""asino"", ""puma"", ""leone"", ""coniglio"", ""aquila"", ""cavallo"", ""dromedario"", ""delfino"", ""mucca"", ""cane"", ""topo"", ""toro"", ""e""], [""gatto"", ""balena"", ""tartaruga"", ""coniglio"", ""asino"", ""leone"", ""elefante"", ""delfino"", ""allora"", ""muflone"", ""mucca"", ""cane"", ""cavallo"", ""toro"", ""pipistrello"", ""serpente""]]",7.0,"[[""toro"", ""cerbiatto"", ""lumaca"", ""toro"", ""allora"", ""e"", ""e""], [""allora"", ""toro"", ""cerbiatto"", ""zucchine"", ""allora"", ""toro"", ""toro""]]",0.8120777690494895,[],6.953749999999999,"[""acciuga"", ""alce"", ""allora"", ""anguilla"", ""aquila"", ""asino"", ""balena"", ""bruco"", ""cammello"", ""canarino"", ""capriolo"", ""cavallo"", ""cerbiatto"", ""cervo"", ""cicala"", ""cinghiale"", ""coccodrillo"", ""coniglio"", ""corvo"", ""delfino"", ""dromedario"", ""e"", ""elefante"", ""falco"", ""farfalla"", ""gallina"", ""gamberone"", ""gatto"", ""geco"", ""giraffa"", ""gufo"", ""leone"", ""lumaca"", ""mucca"", ""muflone"", ""orso"", ""pantera"", ""pappagallo"", ""pecora"", ""piccione"", ""pipistrello"", ""polpo"", ""ragno"", ""serpente"", ""tacchino"", ""tartaruga"", ""tigre"", ""topo"", ""toro"", ""zucchine""]"
MA-k8TRO2jAu,animali,7.0,5.5,0.5357142857142857,1.4523809523809523,1.7738095238095237,1.0,"[[""tigre""], [""tigre""]]",1.5,"[[""drago"", ""mandragola""], [""pomodori""]]",0.82625,[],5.74,"[""asino"", ""canelupo"", ""cavallo"", ""coccodrillo"", ""coniglio"", ""drago"", ""gallina"", ""gatto"", ""lupo"", ""maiale"", ""mandragola"", ""orso"", ""piccione"", ""pomodori"", ""tigre"", ""topo"", ""tortora"", ""volpe""]"
