nodes,edges,density,average_clustering,average_neighbor_degree,largest_component_nodes,largest_component_density,largest_component_average_shortest_path,largest_component_diameter,category,method,error
158.0,442.0,0.03563653954688382,0.14349376888106397,9.621861424976728,158.0,0.03563653954688382,3.2879948399580745,9.0,animali,naive_random_walk,
158.0,71.0,0.005724421510924776,0.10780590717299576,1.15042194092827,23.0,0.10276679841897234,3.9881422924901186,8.0,animali,conceptual_network,
158.0,191.0,0.015399500120938483,0.048663853727144865,3.615717299578059,158.0,0.015399500120938483,6.6791905184229625,18.0,animali,pathfinder,
,,,,,,,,,animali,correlation_based,No module named 'planarity.planarity'
158.0,17.0,0.0013706361364186083,0.0,0.3411392405063291,12.0,0.16666666666666666,2.8484848484848486,6.0,animali,first_edge,
30.0,122.0,0.28045977011494255,0.5472616951332121,11.135491131818531,30.0,0.28045977011494255,1.9402298850574713,4.0,frutta,naive_random_walk,
30.0,9.0,0.020689655172413793,0.0,0.6666666666666666,4.0,0.5,1.6666666666666667,3.0,frutta,conceptual_network,
30.0,34.0,0.07816091954022988,0.0,3.384722222222222,30.0,0.07816091954022988,3.4988505747126437,8.0,frutta,pathfinder,
,,,,,,,,,frutta,correlation_based,No module named 'planarity.planarity'
30.0,18.0,0.041379310344827586,0.06555555555555555,1.9672222222222222,16.0,0.15,2.8916666666666666,6.0,frutta,first_edge,
38.0,106.0,0.1507823613086771,0.437119367244021,9.306012627723154,38.0,0.1507823613086771,2.1792318634423897,4.0,verdura,naive_random_walk,
38.0,4.0,0.005689900426742532,0.07894736842105263,0.21052631578947367,3.0,1.0,1.0,1.0,verdura,conceptual_network,
38.0,43.0,0.06116642958748222,0.08289473684210526,3.5792606516290726,38.0,0.06116642958748222,4.256045519203414,10.0,verdura,pathfinder,
,,,,,,,,,verdura,correlation_based,No module named 'planarity.planarity'
38.0,26.0,0.03698435277382646,0.02631578947368421,2.0570175438596494,24.0,0.09057971014492754,3.608695652173913,8.0,verdura,first_edge,
