subj,item1,item2,edge,
ANIMALI,pantera,tacchino,0,
ANIMALI,pantera,pappagallo,0,
ANIMALI,pantera,uccello,0,
ANIMALI,pantera,trota,0,
ANIMALI,pantera,pulcino,0,
ANIMALI,pantera,quaglia,0,
ANIMALI,pantera,piccione,0,
ANIMALI,pantera,pipistrello,1,
ANIMALI,pantera,volpe,0,
ANIMALI,pantera,rinoceronte,0,
ANIMALI,pantera,pescepappagallo,0,
ANIMALI,pantera,stambecco,0,
ANIMALI,pantera,serpente,0,
ANIMALI,pantera,verme,0,
ANIMALI,pantera,squalobalena,0,
ANIMALI,pantera,tartaruga,0,
ANIMALI,pantera,talpa,0,
ANIMALI,pantera,salmone,0,
ANIMALI,pantera,visone,0,
ANIMALI,pantera,zanzara,0,
ANIMALI,pantera,scampo,0,
ANIMALI,pantera,puma,1,
ANIMALI,pantera,zebra,0,
ANIMALI,pantera,pescegatto,0,
ANIMALI,pantera,squalo,0,
ANIMALI,pantera,somaro,0,
ANIMALI,pantera,sparviero,0,
ANIMALI,pantera,tigre,0,
ANIMALI,pantera,ragno,0,
ANIMALI,pantera,picchio,0,
ANIMALI,pantera,topo,0,
ANIMALI,pantera,pollo,0,
ANIMALI,pantera,poiana,0,
ANIMALI,pantera,scimmia,0,
ANIMALI,pantera,tortora,0,
ANIMALI,pantera,papera,0,
ANIMALI,pantera,rondine,0,
ANIMALI,pantera,pecora,0,
ANIMALI,pantera,piranha,0,
ANIMALI,pantera,upupa,0,
ANIMALI,pantera,stellamarina,0,
ANIMALI,pantera,renna,0,
ANIMALI,pantera,vitello,0,
ANIMALI,pantera,pescepalla,0,
ANIMALI,pantera,pavone,0,
ANIMALI,pantera,vespa,0,
ANIMALI,pantera,pesce,0,
ANIMALI,pantera,pescerosso,0,
ANIMALI,pantera,rana,0,
ANIMALI,pantera,scoiattolo,0,
ANIMALI,pantera,pinguino,0,
ANIMALI,pantera,suino,0,
ANIMALI,pantera,polpo,0,
ANIMALI,pantera,vongola,0,
ANIMALI,pantera,scarafaggio,0,
ANIMALI,antilope,pantera,0,
ANIMALI,antilope,balena,0,
ANIMALI,antilope,tacchino,0,
ANIMALI,antilope,pappagallo,0,
ANIMALI,antilope,coyote,0,
ANIMALI,antilope,uccello,0,
ANIMALI,antilope,trota,0,
ANIMALI,antilope,cammello,0,
ANIMALI,antilope,aquila,0,
ANIMALI,antilope,pulcino,0,
ANIMALI,antilope,koala,0,
ANIMALI,antilope,gazza,0,
ANIMALI,antilope,maiale,0,
ANIMALI,antilope,quaglia,0,
ANIMALI,antilope,manzo,0,
ANIMALI,antilope,bradipo,0,
ANIMALI,antilope,piccione,0,
ANIMALI,antilope,pipistrello,0,
ANIMALI,antilope,biscia,0,
ANIMALI,antilope,volpe,0,
ANIMALI,antilope,rinoceronte,0,
ANIMALI,antilope,gorilla,0,
ANIMALI,antilope,bufalo,0,
ANIMALI,antilope,pescepappagallo,0,
ANIMALI,antilope,bruco,0,
ANIMALI,antilope,stambecco,0,
ANIMALI,antilope,serpente,0,
ANIMALI,antilope,capriolo,0,
ANIMALI,antilope,verme,0,
ANIMALI,antilope,colombo,0,
ANIMALI,antilope,squalobalena,0,
ANIMALI,antilope,tartaruga,0,
ANIMALI,antilope,criceto,0,
ANIMALI,antilope,licaone,0,
ANIMALI,antilope,leone,0,
ANIMALI,antilope,bertuccia,0,
ANIMALI,antilope,talpa,0,
ANIMALI,antilope,dromedario,0,
ANIMALI,antilope,salmone,0,
ANIMALI,antilope,ermellino,0,
ANIMALI,antilope,lama,0,
ANIMALI,antilope,visone,0,
ANIMALI,antilope,zanzara,0,
ANIMALI,antilope,branzino,0,
ANIMALI,antilope,capodoglio,0,
ANIMALI,antilope,asino,0,
ANIMALI,antilope,orata,0,
ANIMALI,antilope,leonessa,0,
ANIMALI,antilope,lombrico,0,
ANIMALI,antilope,gazzella,0,
ANIMALI,antilope,capra,0,
ANIMALI,antilope,gallina,0,
ANIMALI,antilope,oca,0,
ANIMALI,antilope,scampo,0,
ANIMALI,antilope,puma,0,
ANIMALI,antilope,maialino,0,
ANIMALI,antilope,mucca,0,
ANIMALI,antilope,zebra,1,
ANIMALI,antilope,pescegatto,0,
ANIMALI,antilope,grillo,0,
ANIMALI,antilope,fenicottero,0,
ANIMALI,antilope,falco,0,
ANIMALI,antilope,squalo,0,
ANIMALI,antilope,cobra,0,
ANIMALI,antilope,mosca,0,
ANIMALI,antilope,civetta,0,
ANIMALI,antilope,babbuino,0,
ANIMALI,antilope,formichiere,0,
ANIMALI,antilope,ippopotamo,0,
ANIMALI,antilope,somaro,0,
ANIMALI,antilope,ornitorinco,0,
ANIMALI,antilope,aquilareale,0,
ANIMALI,antilope,geco,0,
ANIMALI,antilope,faina,0,
ANIMALI,antilope,carpa,0,
ANIMALI,antilope,orca,0,
ANIMALI,antilope,canarino,0,
ANIMALI,antilope,sparviero,0,
ANIMALI,antilope,faraona,0,
ANIMALI,antilope,tigre,0,
ANIMALI,antilope,ragno,0,
ANIMALI,antilope,lontra,0,
ANIMALI,antilope,lucertola,0,
ANIMALI,antilope,cinghiale,0,
ANIMALI,antilope,bue,0,
