nodes,edges,density,average_clustering,average_neighbor_degree,largest_component_nodes,largest_component_density,largest_component_average_shortest_path,largest_component_diameter,category,method,error
104.0,202.0,0.037714712471994025,0.06376887001887002,5.230646783771784,104.0,0.037714712471994025,3.744958924570575,9.0,animali,naive_random_walk,
104.0,17.0,0.0031740104555638537,0.0,0.36538461538461536,4.0,0.5,1.6666666666666667,3.0,animali,conceptual_network,
104.0,127.0,0.02371172516803585,0.011538461538461537,2.964903846153846,104.0,0.02371172516803585,6.817214339058999,17.0,animali,pathfinder,
,,,,,,,,,animali,correlation_based,No module named 'planarity.planarity'
104.0,10.0,0.0018670649738610904,0.0,0.23397435897435898,5.0,0.4,1.8,3.0,animali,first_edge,
23.0,60.0,0.23715415019762845,0.2727398205659075,6.568719806763284,23.0,0.23715415019762845,2.007905138339921,4.0,frutta,naive_random_walk,
23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,frutta,conceptual_network,
23.0,25.0,0.09881422924901186,0.06521739130434782,2.8224637681159415,23.0,0.09881422924901186,4.201581027667984,10.0,frutta,pathfinder,
,,,,,,,,,frutta,correlation_based,No module named 'planarity.planarity'
23.0,5.0,0.019762845849802372,0.0,0.5797101449275361,5.0,0.4,1.8,3.0,frutta,first_edge,
28.0,53.0,0.1402116402116402,0.16020408163265307,4.5406462585034015,28.0,0.1402116402116402,2.544973544973545,5.0,verdura,naive_random_walk,
28.0,3.0,0.007936507936507936,0.0,0.21428571428571427,2.0,1.0,1.0,1.0,verdura,conceptual_network,
28.0,34.0,0.08994708994708994,0.07738095238095237,2.821428571428572,28.0,0.08994708994708994,5.113756613756614,13.0,verdura,pathfinder,
,,,,,,,,,verdura,correlation_based,No module named 'planarity.planarity'
28.0,8.0,0.021164021164021163,0.10714285714285714,0.6666666666666667,6.0,0.3333333333333333,2.066666666666667,4.0,verdura,first_edge,
