subj,item1,item2,edge,
ANIMALI,trota,verme,0,
ANIMALI,trota,uccello,0,
ANIMALI,trota,vespa,0,
ANIMALI,trota,zanzara,0,
ANIMALI,trota,volpe,0,
ANIMALI,trota,zebra,0,
ANIMALI,pescerosso,trota,0,
ANIMALI,pescerosso,tigre,0,
ANIMALI,pescerosso,verme,0,
ANIMALI,pescerosso,puma,0,
ANIMALI,pescerosso,rondine,0,
ANIMALI,pescerosso,stambecco,0,
ANIMALI,pescerosso,triglia,0,
ANIMALI,pescerosso,ratto,0,
ANIMALI,pescerosso,sgombro,0,
ANIMALI,pescerosso,uccello,0,
ANIMALI,pescerosso,rana,0,
ANIMALI,pescerosso,tartaruga,0,
ANIMALI,pescerosso,topo,0,
ANIMALI,pescerosso,piccione,0,
ANIMALI,pescerosso,rinoceronte,0,
ANIMALI,pescerosso,tacchino,0,
ANIMALI,pescerosso,scimmia,0,
ANIMALI,pescerosso,tonno,0,
ANIMALI,pescerosso,serpentetigre,0,
ANIMALI,pescerosso,spigola,0,
ANIMALI,pescerosso,vespa,0,
ANIMALI,pescerosso,rospo,0,
ANIMALI,pescerosso,talpa,0,
ANIMALI,pescerosso,pettirosso,0,
ANIMALI,pescerosso,zanzara,0,
ANIMALI,pescerosso,tordo,0,
ANIMALI,pescerosso,squalobalena,1,
ANIMALI,pescerosso,volpe,0,
ANIMALI,pescerosso,termite,0,
ANIMALI,pescerosso,serpente,0,
ANIMALI,pescerosso,squalo,0,
ANIMALI,pescerosso,zebra,0,
ANIMALI,mucca,trota,0,
ANIMALI,mucca,pescerosso,0,
ANIMALI,mucca,passero,0,
ANIMALI,mucca,tigre,0,
ANIMALI,mucca,verme,0,
ANIMALI,mucca,puma,0,
ANIMALI,mucca,pecora,0,
ANIMALI,mucca,ocelot,0,
ANIMALI,mucca,rondine,0,
ANIMALI,mucca,stambecco,0,
ANIMALI,mucca,triglia,0,
ANIMALI,mucca,mulo,0,
ANIMALI,mucca,ratto,0,
ANIMALI,mucca,nutria,0,
ANIMALI,mucca,pappagallo,0,
ANIMALI,mucca,sgombro,0,
ANIMALI,mucca,uccello,0,
ANIMALI,mucca,rana,0,
ANIMALI,mucca,tartaruga,0,
ANIMALI,mucca,topo,0,
ANIMALI,mucca,piccione,0,
ANIMALI,mucca,rinoceronte,0,
ANIMALI,mucca,tacchino,0,
ANIMALI,mucca,scimmia,0,
ANIMALI,mucca,tonno,0,
ANIMALI,mucca,serpentetigre,0,
ANIMALI,mucca,pantera,0,
ANIMALI,mucca,pesce,0,
ANIMALI,mucca,spigola,0,
ANIMALI,mucca,vespa,0,
ANIMALI,mucca,rospo,0,
ANIMALI,mucca,talpa,0,
ANIMALI,mucca,pettirosso,0,
ANIMALI,mucca,opossum,0,
ANIMALI,mucca,zanzara,0,
ANIMALI,mucca,tordo,0,
ANIMALI,mucca,squalobalena,0,
ANIMALI,mucca,orso,0,
ANIMALI,mucca,volpe,0,
ANIMALI,mucca,termite,0,
ANIMALI,mucca,serpente,0,
ANIMALI,mucca,orata,0,
ANIMALI,mucca,squalo,0,
ANIMALI,mucca,zebra,0,
ANIMALI,gibbone,trota,0,
ANIMALI,gibbone,pescerosso,0,
ANIMALI,gibbone,mucca,0,
ANIMALI,gibbone,passero,0,
ANIMALI,gibbone,tigre,0,
ANIMALI,gibbone,lepre,0,
ANIMALI,gibbone,verme,0,
ANIMALI,gibbone,maiale,0,
ANIMALI,gibbone,puma,0,
ANIMALI,gibbone,millepiedi,0,
ANIMALI,gibbone,pecora,0,
ANIMALI,gibbone,ippopotamo,0,
ANIMALI,gibbone,ocelot,0,
ANIMALI,gibbone,rondine,0,
ANIMALI,gibbone,stambecco,0,
ANIMALI,gibbone,triglia,0,
ANIMALI,gibbone,mulo,0,
ANIMALI,gibbone,ratto,0,
ANIMALI,gibbone,nutria,0,
ANIMALI,gibbone,pappagallo,0,
ANIMALI,gibbone,macaco,1,
ANIMALI,gibbone,merlo,0,
ANIMALI,gibbone,sgombro,0,
ANIMALI,gibbone,uccello,0,
ANIMALI,gibbone,rana,0,
ANIMALI,gibbone,leopardo,0,
ANIMALI,gibbone,tartaruga,0,
ANIMALI,gibbone,leone,0,
ANIMALI,gibbone,topo,0,
ANIMALI,gibbone,piccione,0,
ANIMALI,gibbone,rinoceronte,0,
ANIMALI,gibbone,koala,0,
ANIMALI,gibbone,lemure,0,
ANIMALI,gibbone,granchio,0,
ANIMALI,gibbone,tacchino,0,
ANIMALI,gibbone,giraffa,0,
ANIMALI,gibbone,scimmia,0,
ANIMALI,gibbone,tonno,0,
ANIMALI,gibbone,serpentetigre,0,
ANIMALI,gibbone,pantera,0,
ANIMALI,gibbone,pesce,0,
ANIMALI,gibbone,lupo,0,
ANIMALI,gibbone,spigola,0,
ANIMALI,gibbone,gorilla,0,
ANIMALI,gibbone,iena,0,
ANIMALI,gibbone,vespa,0,
ANIMALI,gibbone,lince,0,
ANIMALI,gibbone,rospo,0,
ANIMALI,gibbone,talpa,0,
ANIMALI,gibbone,lucertola,0,
ANIMALI,gibbone,pettirosso,0,
ANIMALI,gibbone,opossum,0,
ANIMALI,gibbone,zanzara,0,
ANIMALI,gibbone,tordo,0,
ANIMALI,gibbone,squalobalena,0,
ANIMALI,gibbone,orso,0,
ANIMALI,gibbone,mantide,0,
ANIMALI,gibbone,volpe,0,
ANIMALI,gibbone,termite,0,
ANIMALI,gibbone,serpente,0,
ANIMALI,gibbone,orata,0,
ANIMALI,gibbone,squalo,0,
ANIMALI,gibbone,zebra,0,
ANIMALI,ape,trota,0,
ANIMALI,ape,pescerosso,0,
ANIMALI,ape,mucca,0,
ANIMALI,ape,gibbone,0,
ANIMALI,ape,gattopardo,0,
ANIMALI,ape,passero,0,
ANIMALI,ape,giaguaro,0,
ANIMALI,ape,bruco,0,
ANIMALI,ape,canguro,0,
ANIMALI,ape,tigre,0,
ANIMALI,ape,lepre,0,
ANIMALI,ape,asino,0,
ANIMALI,ape,corvo,0,
ANIMALI,ape,aquila,0,
ANIMALI,ape,verme,0,
ANIMALI,ape,maiale,0,
ANIMALI,ape,puma,0,
ANIMALI,ape,gallina,0,
ANIMALI,ape,millepiedi,0,
ANIMALI,ape,farfalla,0,
ANIMALI,ape,elefante,0,
ANIMALI,ape,pecora,0,
ANIMALI,ape,ippopotamo,0,
ANIMALI,ape,ocelot,0,
ANIMALI,ape,rondine,0,
ANIMALI,ape,stambecco,0,
ANIMALI,ape,criceto,0,
ANIMALI,ape,triglia,0,
ANIMALI,ape,mulo,0,
ANIMALI,ape,ratto,0,
ANIMALI,ape,nutria,0,
ANIMALI,ape,pappagallo,0,
ANIMALI,ape,macaco,0,
ANIMALI,ape,balena,0,
ANIMALI,ape,merlo,0,
ANIMALI,ape,cernia,0,
ANIMALI,ape,ghepardo,0,
ANIMALI,ape,sgombro,0,
ANIMALI,ape,uccello,0,
ANIMALI,ape,rana,0,
ANIMALI,ape,coniglio,0,
ANIMALI,ape,leopardo,0,
ANIMALI,ape,gatto,0,
ANIMALI,ape,cinghiale,0,
ANIMALI,ape,tartaruga,0,
ANIMALI,ape,calabrone,1,
ANIMALI,ape,leone,0,
ANIMALI,ape,topo,0,
ANIMALI,ape,piccione,0,
ANIMALI,ape,rinoceronte,0,
ANIMALI,ape,coccodrillo,0,
ANIMALI,ape,koala,0,
ANIMALI,ape,lemure,0,
ANIMALI,ape,coleottero,0,
ANIMALI,ape,granchio,0,
ANIMALI,ape,tacchino,0,
ANIMALI,ape,giraffa,0,
ANIMALI,ape,colomba,0,
ANIMALI,ape,formica,0,
ANIMALI,ape,cimice,1,
ANIMALI,ape,scimmia,0,
ANIMALI,ape,tonno,0,
ANIMALI,ape,serpentetigre,0,
ANIMALI,ape,pantera,0,
ANIMALI,ape,delfino,0,
ANIMALI,ape,carpa,0,
ANIMALI,ape,pesce,0,
ANIMALI,ape,cavallo,0,
ANIMALI,ape,capra,0,
ANIMALI,ape,branzino,0,
ANIMALI,ape,lupo,0,
ANIMALI,ape,spigola,0,
ANIMALI,ape,gorilla,0,
ANIMALI,ape,caimano,0,
ANIMALI,ape,iena,0,
ANIMALI,ape,vespa,1,
ANIMALI,ape,cervo,0,
ANIMALI,ape,lince,0,
ANIMALI,ape,cavalletta,1,
ANIMALI,ape,rospo,0,
ANIMALI,ape,talpa,0,
ANIMALI,ape,lucertola,0,
ANIMALI,ape,facocero,0,
ANIMALI,ape,pettirosso,0,
ANIMALI,ape,opossum,0,
ANIMALI,ape,zanzara,1,
ANIMALI,ape,tordo,0,
ANIMALI,ape,squalobalena,0,
ANIMALI,ape,capodoglio,0,
ANIMALI,ape,orso,0,
ANIMALI,ape,mantide,0,
ANIMALI,ape,volpe,0,
ANIMALI,ape,termite,0,
ANIMALI,ape,serpente,0,
ANIMALI,ape,orata,0,
ANIMALI,ape,cane,0,
ANIMALI,ape,bradipo,0,
ANIMALI,ape,squalo,0,
ANIMALI,ape,zebra,0,
ANIMALI,ape,gabbiano,0,
ANIMALI,ape,bisonte,0,
ANIMALI,ape,falco,0,
ANIMALI,gattopardo,trota,0,
ANIMALI,gattopardo,pescerosso,0,
ANIMALI,gattopardo,mucca,0,
ANIMALI,gattopardo,gibbone,0,
ANIMALI,gattopardo,passero,0,
ANIMALI,gattopardo,giaguaro,0,
ANIMALI,gattopardo,tigre,0,
ANIMALI,gattopardo,lepre,0,
ANIMALI,gattopardo,verme,0,
ANIMALI,gattopardo,maiale,0,
ANIMALI,gattopardo,puma,0,
ANIMALI,gattopardo,millepiedi,0,
ANIMALI,gattopardo,pecora,0,
ANIMALI,gattopardo,ippopotamo,0,
ANIMALI,gattopardo,ocelot,0,
ANIMALI,gattopardo,rondine,0,
ANIMALI,gattopardo,stambecco,0,
ANIMALI,gattopardo,triglia,0,
ANIMALI,gattopardo,mulo,0,
ANIMALI,gattopardo,ratto,0,
ANIMALI,gattopardo,nutria,0,
ANIMALI,gattopardo,pappagallo,0,
ANIMALI,gattopardo,macaco,0,
ANIMALI,gattopardo,merlo,0,
ANIMALI,gattopardo,ghepardo,0,
ANIMALI,gattopardo,sgombro,0,
ANIMALI,gattopardo,uccello,0,
ANIMALI,gattopardo,rana,0,
ANIMALI,gattopardo,leopardo,0,
ANIMALI,gattopardo,tartaruga,0,
ANIMALI,gattopardo,leone,1,
ANIMALI,gattopardo,topo,0,
ANIMALI,gattopardo,piccione,0,
ANIMALI,gattopardo,rinoceronte,0,
ANIMALI,gattopardo,koala,0,
ANIMALI,gattopardo,lemure,0,
ANIMALI,gattopardo,granchio,0,
ANIMALI,gattopardo,tacchino,0,
ANIMALI,gattopardo,giraffa,0,
ANIMALI,gattopardo,scimmia,0,
ANIMALI,gattopardo,tonno,0,
ANIMALI,gattopardo,serpentetigre,0,
ANIMALI,gattopardo,pantera,0,
ANIMALI,gattopardo,pesce,0,
ANIMALI,gattopardo,lupo,0,
ANIMALI,gattopardo,spigola,0,
ANIMALI,gattopardo,gorilla,0,
ANIMALI,gattopardo,iena,0,
ANIMALI,gattopardo,vespa,0,
ANIMALI,gattopardo,lince,1,
ANIMALI,gattopardo,rospo,0,
ANIMALI,gattopardo,talpa,0,
ANIMALI,gattopardo,lucertola,0,
ANIMALI,gattopardo,pettirosso,0,
ANIMALI,gattopardo,opossum,0,
ANIMALI,gattopardo,zanzara,0,
ANIMALI,gattopardo,tordo,0,
ANIMALI,gattopardo,squalobalena,0,
ANIMALI,gattopardo,orso,0,
ANIMALI,gattopardo,mantide,0,
ANIMALI,gattopardo,volpe,0,
ANIMALI,gattopardo,termite,0,
ANIMALI,gattopardo,serpente,0,
ANIMALI,gattopardo,orata,0,
