subj,item1,item2,edge,
VERDURA,barbabietola,rapa,0,
VERDURA,barbabietola,ravanello,1,
VERDURA,barbabietola,rucola,0,
VERDURA,barbabietola,zucca,0,
VERDURA,barbabietola,lattuga,0,
VERDURA,barbabietola,cavolo,0,
VERDURA,barbabietola,carota,0,
VERDURA,barbabietola,broccolo,0,
VERDURA,barbabietola,verza,0,
VERDURA,barbabietola,pomodoro,0,
VERDURA,barbabietola,bietola,0,
VERDURA,barbabietola,radicchio,0,
VERDURA,barbabietola,cavolonero,0,
VERDURA,barbabietola,melanzana,0,
VERDURA,barbabietola,cavoloverza,0,
VERDURA,barbabietola,sedano,1,
VERDURA,barbabietola,zucchina,0,
VERDURA,barbabietola,finocchio,0,
VERDURA,barbabietola,cicoria,0,
VERDURA,barbabietola,porro,0,
VERDURA,barbabietola,cetriolo,0,
VERDURA,barbabietola,cavolettidibruxelles,0,
VERDURA,barbabietola,peperone,0,
VERDURA,barbabietola,cavolocappuccio,0,
VERDURA,barbabietola,cavolfiore,0,
VERDURA,barbabietola,cipolla,0,
VERDURA,rapa,ravanello,0,
VERDURA,rapa,rucola,0,
VERDURA,rapa,zucca,0,
VERDURA,rapa,verza,1,
VERDURA,rapa,sedano,0,
VERDURA,rapa,zucchina,0,
VERDURA,ravanello,rucola,0,
VERDURA,ravanello,zucca,0,
VERDURA,ravanello,verza,0,
VERDURA,ravanello,sedano,0,
VERDURA,ravanello,zucchina,0,
VERDURA,rucola,zucca,0,
VERDURA,rucola,verza,0,
VERDURA,rucola,sedano,0,
VERDURA,rucola,zucchina,0,
VERDURA,zucca,zucchina,1,
VERDURA,lattuga,rapa,0,
VERDURA,lattuga,ravanello,0,
VERDURA,lattuga,rucola,0,
VERDURA,lattuga,zucca,0,
VERDURA,lattuga,verza,0,
VERDURA,lattuga,pomodoro,0,
VERDURA,lattuga,radicchio,0,
VERDURA,lattuga,melanzana,0,
VERDURA,lattuga,sedano,0,
VERDURA,lattuga,zucchina,1,
VERDURA,lattuga,porro,0,
VERDURA,lattuga,peperone,0,
VERDURA,cavolo,rapa,0,
VERDURA,cavolo,ravanello,0,
VERDURA,cavolo,rucola,0,
VERDURA,cavolo,zucca,0,
VERDURA,cavolo,lattuga,0,
VERDURA,cavolo,verza,1,
VERDURA,cavolo,pomodoro,0,
VERDURA,cavolo,radicchio,0,
VERDURA,cavolo,cavolonero,0,
VERDURA,cavolo,melanzana,0,
VERDURA,cavolo,cavoloverza,0,
VERDURA,cavolo,sedano,1,
VERDURA,cavolo,zucchina,0,
VERDURA,cavolo,finocchio,0,
VERDURA,cavolo,cicoria,0,
VERDURA,cavolo,porro,0,
VERDURA,cavolo,cetriolo,1,
VERDURA,cavolo,peperone,0,
VERDURA,cavolo,cavolocappuccio,0,
VERDURA,cavolo,cipolla,0,
VERDURA,carota,rapa,0,
VERDURA,carota,ravanello,0,
VERDURA,carota,rucola,0,
VERDURA,carota,zucca,0,
VERDURA,carota,lattuga,0,
VERDURA,carota,cavolo,0,
VERDURA,carota,verza,0,
VERDURA,carota,pomodoro,1,
VERDURA,carota,radicchio,1,
VERDURA,carota,cavolonero,0,
VERDURA,carota,melanzana,1,
VERDURA,carota,cavoloverza,0,
VERDURA,carota,sedano,1,
VERDURA,carota,zucchina,0,
VERDURA,carota,finocchio,0,
VERDURA,carota,cicoria,0,
VERDURA,carota,porro,0,
VERDURA,carota,cetriolo,1,
VERDURA,carota,cavolettidibruxelles,0,
VERDURA,carota,peperone,0,
VERDURA,carota,cavolocappuccio,0,
VERDURA,carota,cavolfiore,0,
VERDURA,carota,cipolla,0,
VERDURA,broccolo,rapa,0,
VERDURA,broccolo,ravanello,0,
VERDURA,broccolo,rucola,0,
VERDURA,broccolo,zucca,0,
VERDURA,broccolo,lattuga,0,
VERDURA,broccolo,cavolo,0,
VERDURA,broccolo,carota,1,
VERDURA,broccolo,verza,0,
VERDURA,broccolo,pomodoro,0,
VERDURA,broccolo,radicchio,0,
VERDURA,broccolo,cavolonero,0,
VERDURA,broccolo,melanzana,0,
VERDURA,broccolo,cavoloverza,0,
VERDURA,broccolo,sedano,0,
VERDURA,broccolo,zucchina,0,
VERDURA,broccolo,finocchio,0,
VERDURA,broccolo,cicoria,0,
VERDURA,broccolo,porro,0,
VERDURA,broccolo,cetriolo,0,
VERDURA,broccolo,cavolettidibruxelles,0,
VERDURA,broccolo,peperone,0,
VERDURA,broccolo,cavolocappuccio,0,
VERDURA,broccolo,cavolfiore,0,
VERDURA,broccolo,cipolla,0,
VERDURA,verza,zucca,0,
VERDURA,verza,zucchina,0,
VERDURA,pomodoro,rapa,0,
VERDURA,pomodoro,ravanello,1,
VERDURA,pomodoro,rucola,0,
VERDURA,pomodoro,zucca,0,
VERDURA,pomodoro,verza,1,
VERDURA,pomodoro,radicchio,1,
VERDURA,pomodoro,sedano,0,
VERDURA,pomodoro,zucchina,0,
VERDURA,pomodoro,porro,1,
VERDURA,bietola,rapa,0,
VERDURA,bietola,ravanello,0,
VERDURA,bietola,rucola,1,
VERDURA,bietola,zucca,0,
VERDURA,bietola,lattuga,1,
VERDURA,bietola,cavolo,0,
VERDURA,bietola,carota,1,
VERDURA,bietola,broccolo,0,
VERDURA,bietola,verza,0,
VERDURA,bietola,pomodoro,0,
VERDURA,bietola,radicchio,1,
VERDURA,bietola,cavolonero,0,
VERDURA,bietola,melanzana,0,
VERDURA,bietola,cavoloverza,0,
VERDURA,bietola,sedano,1,
VERDURA,bietola,zucchina,0,
VERDURA,bietola,finocchio,0,
VERDURA,bietola,cicoria,0,
VERDURA,bietola,porro,0,
VERDURA,bietola,cetriolo,1,
VERDURA,bietola,cavolettidibruxelles,0,
VERDURA,bietola,peperone,0,
VERDURA,bietola,cavolocappuccio,0,
VERDURA,bietola,cavolfiore,0,
VERDURA,bietola,cipolla,0,
VERDURA,radicchio,rapa,0,
VERDURA,radicchio,ravanello,0,
VERDURA,radicchio,rucola,0,
