nodes,edges,density,average_clustering,average_neighbor_degree,largest_component_nodes,largest_component_density,largest_component_average_shortest_path,largest_component_diameter,category,method,error
108.0,271.0,0.046902042229145034,0.18287575212193075,9.276660642355518,108.0,0.046902042229145034,3.3563516787815852,9.0,animali,naive_random_walk,
108.0,25.0,0.004326756663205262,0.04938271604938271,0.537037037037037,6.0,0.4,1.9333333333333333,4.0,animali,conceptual_network,
108.0,139.0,0.024056767047421254,0.09091643952755063,4.03162377745711,108.0,0.024056767047421254,5.303565247490481,13.0,animali,pathfinder,
,,,,,,,,,animali,correlation_based,No module named 'planarity.planarity'
108.0,39.0,0.006749740394600207,0.008362727807172251,1.400955320399765,26.0,0.09846153846153846,2.8276923076923075,6.0,animali,first_edge,
26.0,63.0,0.19384615384615383,0.2956959706959707,6.264804639804641,23.0,0.2450592885375494,2.150197628458498,4.0,frutta,naive_random_walk,
26.0,3.0,0.009230769230769232,0.0,0.23076923076923078,2.0,1.0,1.0,1.0,frutta,conceptual_network,
26.0,26.0,0.08,0.08333333333333333,2.564102564102564,23.0,0.09881422924901186,3.3952569169960474,7.0,frutta,pathfinder,
,,,,,,,,,frutta,correlation_based,No module named 'planarity.planarity'
26.0,21.0,0.06461538461538462,0.1412087912087912,2.266117216117216,13.0,0.23076923076923078,2.230769230769231,4.0,frutta,first_edge,
28.0,35.0,0.09259259259259259,0.14676870748299317,4.2214285714285715,26.0,0.1076923076923077,3.12,7.0,verdura,naive_random_walk,
28.0,2.0,0.005291005291005291,0.0,0.14285714285714285,2.0,1.0,1.0,1.0,verdura,conceptual_network,
28.0,33.0,0.0873015873015873,0.1420918367346939,4.023384353741497,26.0,0.10153846153846154,3.350769230769231,8.0,verdura,pathfinder,
,,,,,,,,,verdura,correlation_based,No module named 'planarity.planarity'
28.0,16.0,0.042328042328042326,0.07738095238095237,2.397959183673469,15.0,0.14285714285714285,3.361904761904762,7.0,verdura,first_edge,
