subj,item1,item2,edge,
VERDURA,rapa,sedano,0,
VERDURA,rapa,zucca,0,
VERDURA,rapa,rosmarino,0,
VERDURA,rapa,verza,0,
VERDURA,rapa,rucola,0,
VERDURA,rapa,salvia,0,
VERDURA,rapa,spinacio,0,
VERDURA,cavolocappuccio,rapa,0,
VERDURA,cavolocappuccio,sedano,0,
VERDURA,cavolocappuccio,zucca,0,
VERDURA,cavolocappuccio,patata,0,
VERDURA,cavolocappuccio,rosmarino,0,
VERDURA,cavolocappuccio,pomodoro,0,
VERDURA,cavolocappuccio,verza,0,
VERDURA,cavolocappuccio,rucola,0,
VERDURA,cavolocappuccio,peperone,0,
VERDURA,cavolocappuccio,cipolla,0,
VERDURA,cavolocappuccio,salvia,0,
VERDURA,cavolocappuccio,menta,0,
VERDURA,cavolocappuccio,spinacio,0,
VERDURA,cavolocappuccio,cavoloverza,0,
VERDURA,cavolocappuccio,melanzana,0,
VERDURA,cavolocappuccio,radicchio,0,
VERDURA,cavolocappuccio,finocchio,0,
VERDURA,cavolocappuccio,lattuga,0,
VERDURA,cavolocappuccio,cimedirapa,0,
VERDURA,sedano,zucca,0,
VERDURA,sedano,verza,0,
VERDURA,sedano,spinacio,0,
VERDURA,barbabietola,rapa,0,
VERDURA,barbabietola,cavolocappuccio,0,
VERDURA,barbabietola,sedano,0,
VERDURA,barbabietola,zucca,0,
VERDURA,barbabietola,patata,0,
VERDURA,barbabietola,rosmarino,0,
VERDURA,barbabietola,cavolfiore,0,
VERDURA,barbabietola,pomodoro,0,
VERDURA,barbabietola,verza,0,
VERDURA,barbabietola,cavolo,0,
VERDURA,barbabietola,rucola,0,
VERDURA,barbabietola,peperone,0,
VERDURA,barbabietola,carota,0,
VERDURA,barbabietola,cipolla,0,
VERDURA,barbabietola,salvia,0,
VERDURA,barbabietola,menta,0,
VERDURA,barbabietola,cavolettidibruxelles,0,
VERDURA,barbabietola,basilico,0,
VERDURA,barbabietola,spinacio,0,
VERDURA,barbabietola,carciofo,0,
VERDURA,barbabietola,cavoloverza,0,
VERDURA,barbabietola,melanzana,0,
VERDURA,barbabietola,radicchio,0,
VERDURA,barbabietola,finocchio,0,
VERDURA,barbabietola,lattuga,0,
VERDURA,barbabietola,cimedirapa,0,
VERDURA,patata,rapa,0,
VERDURA,patata,sedano,0,
VERDURA,patata,zucca,0,
VERDURA,patata,rosmarino,0,
VERDURA,patata,pomodoro,0,
VERDURA,patata,verza,0,
VERDURA,patata,rucola,0,
VERDURA,patata,peperone,0,
VERDURA,patata,salvia,0,
VERDURA,patata,spinacio,0,
VERDURA,patata,radicchio,0,
VERDURA,rosmarino,sedano,0,
VERDURA,rosmarino,zucca,0,
VERDURA,rosmarino,verza,0,
VERDURA,rosmarino,rucola,0,
VERDURA,rosmarino,salvia,0,
VERDURA,rosmarino,spinacio,0,
VERDURA,cavolfiore,rapa,0,
VERDURA,cavolfiore,cavolocappuccio,0,
VERDURA,cavolfiore,sedano,0,
VERDURA,cavolfiore,zucca,0,
VERDURA,cavolfiore,patata,0,
VERDURA,cavolfiore,rosmarino,0,
VERDURA,cavolfiore,pomodoro,0,
VERDURA,cavolfiore,verza,0,
VERDURA,cavolfiore,cavolo,0,
VERDURA,cavolfiore,rucola,0,
VERDURA,cavolfiore,peperone,0,
VERDURA,cavolfiore,cipolla,0,
VERDURA,cavolfiore,salvia,0,
VERDURA,cavolfiore,menta,0,
VERDURA,cavolfiore,spinacio,0,
VERDURA,cavolfiore,cavoloverza,0,
VERDURA,cavolfiore,melanzana,0,
VERDURA,cavolfiore,radicchio,0,
VERDURA,cavolfiore,finocchio,0,
VERDURA,cavolfiore,lattuga,0,
VERDURA,cavolfiore,cimedirapa,0,
VERDURA,pomodoro,rapa,0,
VERDURA,pomodoro,sedano,0,
VERDURA,pomodoro,zucca,0,
VERDURA,pomodoro,rosmarino,0,
VERDURA,pomodoro,verza,0,
VERDURA,pomodoro,rucola,0,
VERDURA,pomodoro,salvia,0,
VERDURA,pomodoro,spinacio,0,
VERDURA,pomodoro,radicchio,0,
VERDURA,aglio,rapa,0,
VERDURA,aglio,cavolocappuccio,0,
VERDURA,aglio,sedano,0,
VERDURA,aglio,barbabietola,0,
VERDURA,aglio,zucca,0,
VERDURA,aglio,patata,0,
VERDURA,aglio,rosmarino,0,
VERDURA,aglio,cavolfiore,0,
VERDURA,aglio,pomodoro,0,
VERDURA,aglio,verza,0,
VERDURA,aglio,cavolo,0,
VERDURA,aglio,rucola,0,
VERDURA,aglio,peperone,0,
VERDURA,aglio,carota,0,
VERDURA,aglio,cipolla,0,
VERDURA,aglio,salvia,0,
VERDURA,aglio,menta,0,
VERDURA,aglio,cavolettidibruxelles,0,
VERDURA,aglio,basilico,0,
VERDURA,aglio,spinacio,0,
VERDURA,aglio,carciofo,0,
VERDURA,aglio,cavoloverza,0,
VERDURA,aglio,melanzana,0,
VERDURA,aglio,radicchio,0,
VERDURA,aglio,finocchio,0,
VERDURA,aglio,lattuga,0,
VERDURA,aglio,cimedirapa,0,
VERDURA,verza,zucca,0,
VERDURA,cavolo,rapa,0,
VERDURA,cavolo,cavolocappuccio,0,
VERDURA,cavolo,sedano,0,
VERDURA,cavolo,zucca,0,
VERDURA,cavolo,patata,0,
VERDURA,cavolo,rosmarino,0,
VERDURA,cavolo,pomodoro,0,
VERDURA,cavolo,verza,0,
VERDURA,cavolo,rucola,0,
VERDURA,cavolo,peperone,0,
VERDURA,cavolo,cipolla,0,
VERDURA,cavolo,salvia,0,
VERDURA,cavolo,menta,0,
VERDURA,cavolo,spinacio,0,
VERDURA,cavolo,cavoloverza,0,
VERDURA,cavolo,melanzana,0,
VERDURA,cavolo,radicchio,0,
VERDURA,cavolo,finocchio,0,
VERDURA,cavolo,lattuga,0,
VERDURA,cavolo,cimedirapa,0,
VERDURA,rucola,sedano,0,
VERDURA,rucola,zucca,0,
VERDURA,rucola,verza,0,
VERDURA,rucola,salvia,0,
VERDURA,rucola,spinacio,0,
VERDURA,peperone,rapa,0,
VERDURA,peperone,sedano,0,
VERDURA,peperone,zucca,0,
VERDURA,peperone,rosmarino,0,
VERDURA,peperone,pomodoro,0,
VERDURA,peperone,verza,0,
VERDURA,peperone,rucola,0,
VERDURA,peperone,salvia,0,
VERDURA,peperone,spinacio,0,
VERDURA,peperone,radicchio,0,
VERDURA,carota,rapa,0,
VERDURA,carota,cavolocappuccio,0,
VERDURA,carota,sedano,0,
VERDURA,carota,zucca,0,
VERDURA,carota,patata,0,
VERDURA,carota,rosmarino,0,
VERDURA,carota,cavolfiore,0,
VERDURA,carota,pomodoro,0,
VERDURA,carota,verza,0,
VERDURA,carota,cavolo,0,
VERDURA,carota,rucola,0,
VERDURA,carota,peperone,0,
VERDURA,carota,cipolla,0,
VERDURA,carota,salvia,0,
VERDURA,carota,menta,0,
VERDURA,carota,cavolettidibruxelles,0,
VERDURA,carota,spinacio,0,
VERDURA,carota,cavoloverza,0,
VERDURA,carota,melanzana,0,
VERDURA,carota,radicchio,0,
VERDURA,carota,finocchio,0,
VERDURA,carota,lattuga,0,
VERDURA,carota,cimedirapa,0,
VERDURA,cipolla,rapa,0,
VERDURA,cipolla,sedano,0,
VERDURA,cipolla,zucca,0,
VERDURA,cipolla,patata,0,
VERDURA,cipolla,rosmarino,0,
VERDURA,cipolla,pomodoro,0,
VERDURA,cipolla,verza,0,
VERDURA,cipolla,rucola,0,
VERDURA,cipolla,peperone,0,
VERDURA,cipolla,salvia,0,
VERDURA,cipolla,menta,0,
VERDURA,cipolla,spinacio,0,
VERDURA,cipolla,melanzana,0,
VERDURA,cipolla,radicchio,0,
VERDURA,cipolla,finocchio,0,
VERDURA,cipolla,lattuga,0,
VERDURA,salvia,sedano,0,
VERDURA,salvia,zucca,0,
VERDURA,salvia,verza,0,
VERDURA,salvia,spinacio,0,
VERDURA,menta,rapa,0,
VERDURA,menta,sedano,0,
VERDURA,menta,zucca,0,
VERDURA,menta,patata,0,
VERDURA,menta,rosmarino,0,
VERDURA,menta,pomodoro,0,
VERDURA,menta,verza,0,
VERDURA,menta,rucola,0,
VERDURA,menta,peperone,0,
VERDURA,menta,salvia,0,
VERDURA,menta,spinacio,0,
VERDURA,menta,radicchio,0,
VERDURA,cavolettidibruxelles,rapa,0,
VERDURA,cavolettidibruxelles,cavolocappuccio,0,
VERDURA,cavolettidibruxelles,sedano,0,
VERDURA,cavolettidibruxelles,zucca,0,
VERDURA,cavolettidibruxelles,patata,0,
VERDURA,cavolettidibruxelles,rosmarino,0,
VERDURA,cavolettidibruxelles,cavolfiore,0,
VERDURA,cavolettidibruxelles,pomodoro,0,
VERDURA,cavolettidibruxelles,verza,0,
VERDURA,cavolettidibruxelles,cavolo,0,
VERDURA,cavolettidibruxelles,rucola,0,
VERDURA,cavolettidibruxelles,peperone,0,
VERDURA,cavolettidibruxelles,cipolla,0,
VERDURA,cavolettidibruxelles,salvia,0,
VERDURA,cavolettidibruxelles,menta,0,
VERDURA,cavolettidibruxelles,spinacio,0,
VERDURA,cavolettidibruxelles,cavoloverza,0,
VERDURA,cavolettidibruxelles,melanzana,1,
VERDURA,cavolettidibruxelles,radicchio,0,
VERDURA,cavolettidibruxelles,finocchio,0,
VERDURA,cavolettidibruxelles,lattuga,0,
VERDURA,cavolettidibruxelles,cimedirapa,0,
VERDURA,basilico,rapa,0,
VERDURA,basilico,cavolocappuccio,0,
VERDURA,basilico,sedano,0,
VERDURA,basilico,zucca,0,
VERDURA,basilico,patata,0,
VERDURA,basilico,rosmarino,1,
VERDURA,basilico,cavolfiore,0,
VERDURA,basilico,pomodoro,0,
VERDURA,basilico,verza,0,
VERDURA,basilico,cavolo,0,
VERDURA,basilico,rucola,0,
VERDURA,basilico,peperone,0,
VERDURA,basilico,carota,0,
VERDURA,basilico,cipolla,0,
VERDURA,basilico,salvia,0,
VERDURA,basilico,menta,0,
VERDURA,basilico,cavolettidibruxelles,0,
VERDURA,basilico,spinacio,0,
VERDURA,basilico,carciofo,0,
VERDURA,basilico,cavoloverza,0,
VERDURA,basilico,melanzana,0,
VERDURA,basilico,radicchio,0,
VERDURA,basilico,finocchio,0,
VERDURA,basilico,lattuga,0,
VERDURA,basilico,cimedirapa,0,
VERDURA,spinacio,zucca,0,
VERDURA,spinacio,verza,0,
VERDURA,carciofo,rapa,0,
VERDURA,carciofo,cavolocappuccio,0,
VERDURA,carciofo,sedano,0,
VERDURA,carciofo,zucca,0,
VERDURA,carciofo,patata,0,
VERDURA,carciofo,rosmarino,0,
VERDURA,carciofo,cavolfiore,0,
VERDURA,carciofo,pomodoro,0,
VERDURA,carciofo,verza,0,
VERDURA,carciofo,cavolo,0,
VERDURA,carciofo,rucola,0,
VERDURA,carciofo,peperone,0,
VERDURA,carciofo,carota,0,
VERDURA,carciofo,cipolla,0,
VERDURA,carciofo,salvia,0,
VERDURA,carciofo,menta,0,
VERDURA,carciofo,cavolettidibruxelles,0,
VERDURA,carciofo,spinacio,0,
VERDURA,carciofo,cavoloverza,0,
VERDURA,carciofo,melanzana,0,
VERDURA,carciofo,radicchio,0,
VERDURA,carciofo,finocchio,0,
VERDURA,carciofo,lattuga,0,
VERDURA,carciofo,cimedirapa,0,
VERDURA,cavoloverza,rapa,0,
VERDURA,cavoloverza,sedano,0,
VERDURA,cavoloverza,zucca,0,
VERDURA,cavoloverza,patata,0,
VERDURA,cavoloverza,rosmarino,0,
VERDURA,cavoloverza,pomodoro,0,
VERDURA,cavoloverza,verza,0,
VERDURA,cavoloverza,rucola,0,
VERDURA,cavoloverza,peperone,0,
VERDURA,cavoloverza,cipolla,0,
VERDURA,cavoloverza,salvia,0,
VERDURA,cavoloverza,menta,0,
VERDURA,cavoloverza,spinacio,0,
VERDURA,cavoloverza,melanzana,0,
VERDURA,cavoloverza,radicchio,0,
VERDURA,cavoloverza,finocchio,0,
VERDURA,cavoloverza,lattuga,0,
VERDURA,cavoloverza,cimedirapa,0,
VERDURA,melanzana,rapa,0,
VERDURA,melanzana,sedano,0,
VERDURA,melanzana,zucca,0,
VERDURA,melanzana,patata,0,
VERDURA,melanzana,rosmarino,0,
VERDURA,melanzana,pomodoro,0,
VERDURA,melanzana,verza,0,
VERDURA,melanzana,rucola,0,
VERDURA,melanzana,peperone,0,
VERDURA,melanzana,salvia,0,
VERDURA,melanzana,menta,0,
VERDURA,melanzana,spinacio,0,
VERDURA,melanzana,radicchio,0,
VERDURA,radicchio,rapa,0,
VERDURA,radicchio,sedano,0,
VERDURA,radicchio,zucca,0,
VERDURA,radicchio,rosmarino,0,
VERDURA,radicchio,verza,0,
VERDURA,radicchio,rucola,0,
VERDURA,radicchio,salvia,0,
VERDURA,radicchio,spinacio,0,
VERDURA,finocchio,rapa,0,
VERDURA,finocchio,sedano,0,
VERDURA,finocchio,zucca,0,
VERDURA,finocchio,patata,0,
VERDURA,finocchio,rosmarino,0,
VERDURA,finocchio,pomodoro,0,
VERDURA,finocchio,verza,0,
VERDURA,finocchio,rucola,0,
VERDURA,finocchio,peperone,0,
VERDURA,finocchio,salvia,0,
VERDURA,finocchio,menta,0,
VERDURA,finocchio,spinacio,0,
VERDURA,finocchio,melanzana,0,
VERDURA,finocchio,radicchio,0,
VERDURA,finocchio,lattuga,0,
VERDURA,lattuga,rapa,0,
VERDURA,lattuga,sedano,0,
VERDURA,lattuga,zucca,0,
VERDURA,lattuga,patata,0,
VERDURA,lattuga,rosmarino,0,
VERDURA,lattuga,pomodoro,0,
VERDURA,lattuga,verza,0,
VERDURA,lattuga,rucola,0,
VERDURA,lattuga,peperone,0,
VERDURA,lattuga,salvia,0,
VERDURA,lattuga,menta,0,
VERDURA,lattuga,spinacio,0,
VERDURA,lattuga,melanzana,0,
VERDURA,lattuga,radicchio,0,
VERDURA,cimedirapa,rapa,0,
VERDURA,cimedirapa,sedano,0,
VERDURA,cimedirapa,zucca,0,
VERDURA,cimedirapa,patata,0,
VERDURA,cimedirapa,rosmarino,0,
VERDURA,cimedirapa,pomodoro,0,
VERDURA,cimedirapa,verza,0,
VERDURA,cimedirapa,rucola,0,
VERDURA,cimedirapa,peperone,0,
VERDURA,cimedirapa,cipolla,0,
VERDURA,cimedirapa,salvia,0,
VERDURA,cimedirapa,menta,0,
VERDURA,cimedirapa,spinacio,0,
VERDURA,cimedirapa,melanzana,0,
VERDURA,cimedirapa,radicchio,0,
VERDURA,cimedirapa,finocchio,0,
VERDURA,cimedirapa,lattuga,0,
