id,category,cluster_switch_static,cluster_switch_fluid,switch_rate_static,cluster_size_static,cluster_size_fluid,perseverations,perseveration_words,intrusions,intrusion_words,avg_word_frequency,missing_word_freq_items,avg_aoa,missing_aoa_items
RU-polesani-04Oc7ARXs,animali,0.0,0.0,0.0,2.0,2.0,0.0,"[[], []]",1.0,"[[""baldo""], [""zafa""]]",3.11,[],5.74,"[""baldo"", ""gatto"", ""zafa""]"
RU-polesani-3qRrmlFKJ,animali,3.0,3.0,0.3055555555555556,1.8333333333333335,1.8333333333333335,1.5,"[[""cane""], [""papera"", ""coccodrillo""]]",3.5,"[[""vitellino"", ""giannina"", ""vabb\u00e8"", ""ciao""], [""cervia"", ""cerbiatto"", ""fringuello""]]",1.37,[],5.74,"[""cerbiatto"", ""cervia"", ""ciao"", ""coccodrillo"", ""coniglio"", ""fringuello"", ""gallina"", ""giannina"", ""maiale"", ""mucca"", ""papera"", ""pipistrello"", ""tacchino"", ""vabb\u00e8"", ""vitellino""]"
RU-polesani-8dy2Rawau,animali,5.0,4.5,0.40064102564102566,2.0,2.1833333333333336,1.0,"[[""ghepardo""], [""scimmia""]]",0.5,"[[], [""fante""]]",0.9953846153846153,[],5.74,"[""babbuino"", ""bufalo"", ""capra"", ""elefante"", ""fante"", ""gatto"", ""ghepardo"", ""leone"", ""leopardo"", ""macaco"", ""mosca"", ""moscerino"", ""pavone"", ""scarafaggio"", ""scimmia"", ""tartaruga"", ""zanzara""]"
RU-polesani-96zSGVW5u,animali,0.0,0.0,0.0,4.0,4.0,2.0,"[[""ippopotamo"", ""tigre""]]",1.0,"[[""ippopotami""]]",0.5,[],,"[""ippopotami"", ""ippopotamo"", ""tigre""]"
RU-polesani-A0lPdZlCl,animali,4.0,4.0,0.3939393939393939,1.8333333333333335,1.8333333333333335,0.5,"[[], [""pantera""]]",1.0,"[[""anche""], [""leon""]]",0.8925757575757576,[],9.370000000000001,"[""anche"", ""bufalo"", ""cavallo"", ""coniglio"", ""elefante"", ""gallina"", ""gatto"", ""ghepardo"", ""leon"", ""leone"", ""pantera"", ""pipistrello"", ""scimmia"", ""tigre"", ""topo""]"
RU-polesani-CJE1Jr0vU,animali,2.0,1.0,0.2777777777777778,2.5,3.75,0.5,"[[], [""tartaruga""]]",0.0,"[[], []]",1.5875,[],5.74,"[""anguilla"", ""coccodrillo"", ""elefante"", ""gatto"", ""giraffa"", ""leone"", ""pesce"", ""serpente"", ""tartaruga""]"
RU-polesani-D0Suet2f7,animali,5.5,4.5,0.2894736842105263,2.4761904761904763,2.9333333333333336,0.5,"[[], [""lumaca""]]",3.0,"[[""gigante"", ""toro"", ""chioggia""], [""lumaca"", ""lumaca"", ""toro""]]",0.8200000000000001,[],7.37,"[""anatra"", ""chioggia"", ""faina"", ""faraona"", ""gallina"", ""gatto"", ""ghepardo"", ""gigante"", ""giraffa"", ""iena"", ""leone"", ""leopardo"", ""lumaca"", ""lupo"", ""maiale"", ""mucca"", ""pulcino"", ""tacchino"", ""tapiro"", ""tigre"", ""toro""]"
RU-polesani-FocGA2CE2,animali,2.0,2.0,0.41666666666666663,1.3333333333333333,1.3333333333333333,0.0,"[[], []]",1.0,"[[""che"", ""palle""], []]",2.13125,[],5.74,"[""cervo"", ""che"", ""gatto"", ""giraffa"", ""maiale"", ""palle"", ""topo""]"
RU-polesani-HTukLzwZe,animali,1.5,1.5,0.375,1.0,1.0,0.0,"[[], []]",1.0,"[[], [""gli"", ""animali""]]",0.75125,[],4.79,"[""animali"", ""cavallo"", ""gli"", ""pesce"", ""tartaruga""]"
RU-polesani-HUbixjIs5,animali,6.5,6.0,0.3912280701754386,2.1517857142857144,2.2857142857142856,2.0,"[[], [""leone"", ""elefante"", ""lepre"", ""gatto""]]",1.0,"[[], [""leoncino"", ""leo""]]",0.9670526315789474,[],5.74,"[""balena"", ""camaleonte"", ""cavallo"", ""cinghiale"", ""delfino"", ""elefante"", ""gatto"", ""giraffa"", ""leo"", ""leoncino"", ""leone"", ""leonessa"", ""lepre"", ""lupo"", ""maiale"", ""pesce"", ""rana"", ""squalo"", ""tartaruga"", ""vipera"", ""volpe""]"
RU-polesani-HaL0tbs7w,animali,0.5,0.0,0.1,2.75,4.0,0.5,"[[], [""aquila""]]",0.0,"[[], []]",0.5,[],,"[""antilope"", ""aquila"", ""falco"", ""ghepardo"", ""giaguaro"", ""leopardo"", ""tigre""]"
RU-polesani-IPp7w7G23,animali,4.5,4.5,0.5606060606060606,1.4166666666666665,1.4166666666666665,0.0,"[[], []]",0.5,"[[], [""scimpanz\u00e9""]]",2.0206060606060605,[],5.5025,"[""cavallo"", ""coniglio"", ""gallina"", ""gallo"", ""gatto"", ""leone"", ""lepre"", ""pollo"", ""scimmia"", ""scimpanz\u00e9"", ""tigre""]"
RU-polesani-IkU3LH7Hn,animali,3.5,3.5,0.23897058823529413,2.571428571428571,2.571428571428571,3.0,"[[""leone"", ""zebra""], [""gattopardo""]]",2.0,"[[""chrome"", ""galeone""], [""lho"", ""detto""]]",1.189375,[],5.70625,"[""asino"", ""cavallo"", ""colomba"", ""detto"", ""galeone"", ""gattopardo"", ""ghepardo"", ""leone"", ""leonessa"", ""lho"", ""mucca"", ""pantera"", ""scimmia"", ""tigre""]"
RU-polesani-ImU4h0wRU,animali,2.0,2.0,0.45,1.3333333333333333,1.3333333333333333,1.0,"[[""elefante""], [""elefante""]]",0.5,"[[""napoleone""], []]",0.5,[],,"[""cavallo"", ""elefante"", ""leone"", ""napoleone"", ""pesce"", ""serpente""]"
RU-polesani-ORJwdZCuL,animali,4.5,4.5,0.37412587412587417,1.65,1.65,1.5,"[[""orso"", ""volpe""], [""canguro""]]",3.0,"[[""allora"", ""scimpanz\u00e9""], [""cappuccio"", ""ancora"", ""e"", ""scimpanz\u00e8""]]",1.1401398601398602,[],5.74,"[""allora"", ""ancora"", ""canguro"", ""cappuccio"", ""cicala"", ""e"", ""gatto"", ""orso"", ""pesce"", ""scimmia"", ""scimpanz\u00e8"", ""scimpanz\u00e9"", ""talpa"", ""topo"", ""volpe""]"
RU-polesani-RP0LHvUI6,animali,1.0,1.0,0.14583333333333331,3.25,3.25,1.5,"[[], [""cane"", ""dromedario"", ""cammello""]]",0.5,"[[], [""fattoria""]]",2.13125,[],5.74,"[""cammello"", ""dromedario"", ""elefante"", ""fattoria"", ""gatto"", ""leopardo"", ""pappagallo"", ""scimmia""]"
RU-polesani-RPRiVglm2,animali,3.0,3.0,0.22171945701357468,3.4166666666666665,3.4166666666666665,1.5,"[[], [""giraffa"", ""pesce"", ""e""]]",4.5,"[[""basta"", ""fine""], [""madonna"", ""annegato"", ""la"", ""e"", ""e"", ""spalla"", ""il""]]",25.79911764705883,[],6.59,"[""annegato"", ""basta"", ""bufalo"", ""e"", ""elefante"", ""gatto"", ""ghepardo"", ""giraffa"", ""il"", ""la"", ""leone"", ""leopardo"", ""lucertola"", ""madonna"", ""pesce"", ""rinoceronte"", ""scimmia"", ""serpente"", ""spalla"", ""squalo"", ""tigre"", ""vacca""]"
RU-polesani-RXIWzf1hR,animali,4.0,4.0,0.4444444444444444,1.6666666666666667,1.6666666666666667,2.5,"[[""delfino""], [""cane"", ""maiale"", ""pensa""]]",2.0,"[[""capezze"", ""luino""], [""pensa"", ""pensa""]]",1.8050000000000002,[],5.74,"[""capezze"", ""cavallo"", ""delfino"", ""gatto"", ""ippopotamo"", ""luino"", ""maiale"", ""pensa"", ""pesce"", ""rinoceronte""]"
RU-polesani-ZgFZebhb8,animali,2.5,2.5,0.25,2.791666666666667,2.791666666666667,1.0,"[[""canguro""], []]",1.0,"[[], [""amantide"", ""religiosa""]]",0.5,[],,"[""amantide"", ""canguro"", ""cavallo"", ""cimice"", ""elefante"", ""formica"", ""giraffa"", ""leone"", ""leonessa"", ""mucca"", ""pecora"", ""pesce"", ""religiosa"", ""serpente"", ""tigre""]"
RU-polesani-g8fky3Brq,animali,5.5,5.5,0.41666666666666663,1.7023809523809523,1.7023809523809523,1.0,"[[""coccodrillo""], [""marmotta""]]",2.5,"[[""ricetta"", ""lumaca"", ""ha"", ""detto""], [""fenice""]]",4.6419999999999995,[],4.79,"[""aquila"", ""camaleonte"", ""cinghiale"", ""coccodrillo"", ""detto"", ""fagiano"", ""fenice"", ""gabbiano"", ""ghepardo"", ""gufo"", ""ha"", ""istrice"", ""leone"", ""lumaca"", ""marmotta"", ""orso"", ""pipistrello"", ""rana"", ""ratto"", ""ricetta"", ""rinoceronte"", ""rospo""]"
