subj,item1,item2,edge,
ANIMALI,gazzella,nutria,0,
ANIMALI,gazzella,panda,0,
ANIMALI,gazzella,paguro,0,
ANIMALI,gazzella,vacca,0,
ANIMALI,gazzella,procione,0,
ANIMALI,gazzella,pastoretedesco,0,
ANIMALI,gazzella,stambecco,0,
ANIMALI,gazzella,sanguisuga,0,
ANIMALI,gazzella,macaco,0,
ANIMALI,gazzella,ornitorinco,0,
ANIMALI,gazzella,scarafaggio,0,
ANIMALI,gazzella,leopardo,0,
ANIMALI,gazzella,pellicano,0,
ANIMALI,gazzella,picchio,0,
ANIMALI,gazzella,porcospino,0,
ANIMALI,gazzella,renna,0,
ANIMALI,gazzella,pulce,0,
ANIMALI,gazzella,rana,0,
ANIMALI,gazzella,millepiedi,0,
ANIMALI,gazzella,lama,0,
ANIMALI,gazzella,pipistrello,0,
ANIMALI,gazzella,porcellinodindia,0,
ANIMALI,gazzella,piovra,0,
ANIMALI,gazzella,volpe,0,
ANIMALI,gazzella,orsopolare,0,
ANIMALI,gazzella,pernice,0,
ANIMALI,gazzella,pappagallo,0,
ANIMALI,gazzella,pescepalla,0,
ANIMALI,gazzella,orangotango,0,
ANIMALI,gazzella,pescerosso,0,
ANIMALI,gazzella,pecora,0,
ANIMALI,gazzella,granchio,0,
ANIMALI,gazzella,tricheco,0,
ANIMALI,gazzella,narvalo,0,
ANIMALI,gazzella,lupo,0,
ANIMALI,gazzella,giraffa,1,
ANIMALI,gazzella,serpente,1,
ANIMALI,gazzella,scoiattolo,0,
ANIMALI,gazzella,varano,0,
ANIMALI,gazzella,montone,0,
ANIMALI,gazzella,ocelot,0,
ANIMALI,gazzella,martinpescatore,0,
ANIMALI,gazzella,mulo,0,
ANIMALI,gazzella,vitello,0,
ANIMALI,gazzella,merluzzo,0,
ANIMALI,gazzella,maialino,0,
ANIMALI,gazzella,pescepagliaccio,0,
ANIMALI,gazzella,pesce,0,
ANIMALI,gazzella,pitone,0,
ANIMALI,gazzella,gibbone,0,
ANIMALI,gazzella,uccello,0,
ANIMALI,gazzella,rospo,1,
ANIMALI,gazzella,zanzara,0,
ANIMALI,gazzella,triceratopo,0,
ANIMALI,gazzella,serpentetigre,0,
ANIMALI,gazzella,mucca,0,
ANIMALI,gazzella,insetto,0,
ANIMALI,gazzella,rondone,0,
ANIMALI,gazzella,lontra,0,
ANIMALI,gazzella,sardina,0,
ANIMALI,gazzella,husky,0,
ANIMALI,gazzella,tortora,0,
ANIMALI,gazzella,moscerino,0,
ANIMALI,gazzella,termite,0,
ANIMALI,gazzella,pescegatto,0,
ANIMALI,gazzella,vongola,0,
ANIMALI,gazzella,velociraptor,0,
ANIMALI,gazzella,papera,0,
ANIMALI,gazzella,martora,0,
ANIMALI,gazzella,ragno,0,
ANIMALI,gazzella,rinoceronte,1,
ANIMALI,gazzella,piranha,0,
ANIMALI,gazzella,iguana,0,
ANIMALI,gazzella,salamandra,0,
ANIMALI,gazzella,giaguaro,0,
ANIMALI,gazzella,scarabeo,0,
ANIMALI,gazzella,sparviero,0,
ANIMALI,gazzella,poiana,0,
ANIMALI,gazzella,talpa,0,
ANIMALI,gazzella,oca,0,
ANIMALI,gazzella,tartaruga,0,
ANIMALI,gazzella,pantera,0,
ANIMALI,gazzella,tarantola,0,
ANIMALI,gazzella,manzo,0,
ANIMALI,gazzella,suino,0,
ANIMALI,gazzella,orca,0,
ANIMALI,gazzella,puma,0,
ANIMALI,gazzella,storione,0,
ANIMALI,gazzella,quaglia,0,
ANIMALI,gazzella,pavone,0,
ANIMALI,gazzella,verme,0,
ANIMALI,gazzella,pettirosso,0,
ANIMALI,gazzella,visone,0,
ANIMALI,gazzella,pitonereticolato,0,
ANIMALI,gazzella,passero,0,
ANIMALI,gazzella,gru,0,
ANIMALI,gazzella,mantide,0,
ANIMALI,gazzella,seppia,0,
ANIMALI,gazzella,struzzo,1,
ANIMALI,gazzella,licaone,0,
ANIMALI,gazzella,granseola,0,
ANIMALI,gazzella,rondine,0,
ANIMALI,gazzella,tonno,0,
ANIMALI,gazzella,trota,0,
ANIMALI,gazzella,orsonero,0,
ANIMALI,gazzella,ghiro,0,
ANIMALI,gazzella,upupa,0,
ANIMALI,gazzella,tasso,0,
ANIMALI,gazzella,scampo,0,
ANIMALI,gazzella,ippopotamo,0,
ANIMALI,gazzella,vedovanera,0,
ANIMALI,gazzella,maiale,0,
ANIMALI,gazzella,salmone,0,
ANIMALI,gazzella,triglia,0,
ANIMALI,gazzella,zebra,1,
ANIMALI,gazzella,iena,1,
ANIMALI,gazzella,tordo,0,
ANIMALI,gazzella,medusa,0,
ANIMALI,gazzella,pollo,0,
ANIMALI,gazzella,scorpione,0,
ANIMALI,gazzella,pescepappagallo,0,
ANIMALI,gazzella,topo,0,
ANIMALI,gazzella,istrice,0,
ANIMALI,gazzella,pescespada,0,
ANIMALI,gazzella,suricato,0,
ANIMALI,gazzella,vipera,0,
ANIMALI,gazzella,stellamarina,0,
ANIMALI,gazzella,lepre,0,
ANIMALI,gazzella,ovino,0,
ANIMALI,gazzella,rettile,0,
ANIMALI,gazzella,gufo,0,
ANIMALI,gazzella,squalo,1,
ANIMALI,gazzella,gerbillo,0,
ANIMALI,gazzella,polpo,0,
ANIMALI,gazzella,lucertola,0,
ANIMALI,gazzella,geco,0,
ANIMALI,gazzella,marmotta,0,
ANIMALI,gazzella,leonessa,0,
ANIMALI,gazzella,tardigrado,0,
ANIMALI,gazzella,orso,0,
ANIMALI,gazzella,tapiro,0,
ANIMALI,gazzella,riccio,0,
ANIMALI,gazzella,spigola,0,
ANIMALI,gazzella,muflone,0,
