subj,item1,item2,edge,
FRUTTA,litchi,maracuja,0,
FRUTTA,litchi,mandarino,0,
FRUTTA,litchi,melograno,0,
FRUTTA,litchi,papaya,0,
FRUTTA,litchi,uva,0,
FRUTTA,litchi,pompelmo,0,
FRUTTA,litchi,prugna,0,
FRUTTA,litchi,mela,0,
FRUTTA,litchi,mora,0,
FRUTTA,litchi,mango,1,
FRUTTA,litchi,nespola,0,
FRUTTA,litchi,pistacchio,0,
FRUTTA,litchi,susina,0,
FRUTTA,litchi,melacotogna,0,
FRUTTA,litchi,mirtillo,0,
FRUTTA,litchi,mangostano,0,
FRUTTA,litchi,pesca,1,
FRUTTA,litchi,pera,0,
FRUTTA,litchi,platano,0,
FRUTTA,cedro,litchi,0,
FRUTTA,cedro,cocco,0,
FRUTTA,cedro,maracuja,0,
FRUTTA,cedro,guava,0,
FRUTTA,cedro,mandarino,0,
FRUTTA,cedro,dattero,0,
FRUTTA,cedro,fruttodeldrago,0,
FRUTTA,cedro,melograno,1,
FRUTTA,cedro,papaya,0,
FRUTTA,cedro,lampone,0,
FRUTTA,cedro,uva,0,
FRUTTA,cedro,pompelmo,1,
FRUTTA,cedro,guaranà,0,
FRUTTA,cedro,fragola,0,
FRUTTA,cedro,chinotto,1,
FRUTTA,cedro,prugna,0,
FRUTTA,cedro,mela,0,
FRUTTA,cedro,corbezzolo,0,
FRUTTA,cedro,ficodindia,0,
FRUTTA,cedro,mora,0,
FRUTTA,cedro,mango,0,
FRUTTA,cedro,nespola,0,
FRUTTA,cedro,pistacchio,0,
FRUTTA,cedro,lime,1,
FRUTTA,cedro,fruttodellapassione,0,
FRUTTA,cedro,susina,0,
FRUTTA,cedro,melacotogna,0,
FRUTTA,cedro,limone,1,
FRUTTA,cedro,fico,0,
FRUTTA,cedro,ciliegia,0,
FRUTTA,cedro,mirtillo,0,
FRUTTA,cedro,mangostano,0,
FRUTTA,cedro,pesca,0,
FRUTTA,cedro,pera,0,
FRUTTA,cedro,kiwi,0,
FRUTTA,cedro,gelso,0,
FRUTTA,cedro,platano,0,
FRUTTA,cocco,litchi,0,
FRUTTA,cocco,maracuja,1,
FRUTTA,cocco,guava,0,
FRUTTA,cocco,mandarino,0,
FRUTTA,cocco,dattero,0,
FRUTTA,cocco,fruttodeldrago,0,
FRUTTA,cocco,melograno,0,
FRUTTA,cocco,papaya,1,
FRUTTA,cocco,lampone,1,
FRUTTA,cocco,uva,1,
FRUTTA,cocco,pompelmo,0,
FRUTTA,cocco,guaranà,0,
FRUTTA,cocco,fragola,0,
FRUTTA,cocco,prugna,0,
FRUTTA,cocco,mela,0,
FRUTTA,cocco,corbezzolo,0,
FRUTTA,cocco,ficodindia,0,
FRUTTA,cocco,mora,0,
FRUTTA,cocco,mango,1,
FRUTTA,cocco,nespola,0,
FRUTTA,cocco,pistacchio,0,
FRUTTA,cocco,lime,0,
FRUTTA,cocco,fruttodellapassione,1,
FRUTTA,cocco,susina,0,
FRUTTA,cocco,melacotogna,0,
FRUTTA,cocco,limone,1,
FRUTTA,cocco,fico,0,
FRUTTA,cocco,mirtillo,0,
FRUTTA,cocco,mangostano,0,
FRUTTA,cocco,pesca,0,
FRUTTA,cocco,pera,0,
FRUTTA,cocco,kiwi,1,
FRUTTA,cocco,gelso,0,
FRUTTA,cocco,platano,0,
FRUTTA,maracuja,melograno,0,
